fold,model,OOS start,OOS end,best parameters
2,Fuzzy Choquet neural network [unweighted],2022-01-01,2023-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (32,), 'classifier__mlp_solver': 'adam'}"
2,Gradient boosting [balanced],2022-01-01,2023-01-01,"{'classifier__l2_regularization': 0.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 7}"
2,Gradient boosting [unweighted],2022-01-01,2023-01-01,"{'classifier__l2_regularization': 1.0, 'classifier__learning_rate': 0.03, 'classifier__max_leaf_nodes': 15}"
2,Logistic [balanced],2022-01-01,2023-01-01,{}
2,Logistic [unweighted],2022-01-01,2023-01-01,{}
2,Logistic oriented [balanced],2022-01-01,2023-01-01,{}
2,Logistic oriented [unweighted],2022-01-01,2023-01-01,{}
2,MLP [balanced],2022-01-01,2023-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (16,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'adam'}"
2,MLP [unweighted],2022-01-01,2023-01-01,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (8,), 'classifier__learning_rate_init': 0.0003, 'classifier__solver': 'adam'}"
2,Penalized logistic [balanced],2022-01-01,2023-01-01,{'classifier__C': 0.01}
2,Penalized logistic [unweighted],2022-01-01,2023-01-01,{'classifier__C': 0.1}
2,RBF SVM [balanced],2022-01-01,2023-01-01,"{'classifier__C': 0.1, 'classifier__gamma': 'scale'}"
2,RBF SVM [unweighted],2022-01-01,2023-01-01,"{'classifier__C': 1.0, 'classifier__gamma': 'scale'}"
2,Random forest [balanced],2022-01-01,2023-01-01,"{'classifier__max_depth': 3, 'classifier__min_samples_leaf': 5}"
2,Random forest [unweighted],2022-01-01,2023-01-01,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 20}"
2,Rolling prior probability,2022-01-01,2023-01-01,{}
3,Choquistic 1-additive [balanced],2023-01-01,2024-01-01,{}
3,Choquistic 1-additive [unweighted],2023-01-01,2024-01-01,{}
3,Choquistic 2-additive [balanced],2023-01-01,2024-01-01,{}
