fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence
0,Penalized logistic [sigmoid],sigmoid,calibration,0.010123900000053254,0.45416666666666666,0.0473332078094237,0.02631578947368421,0.15384615384615385,0.0449438202247191,0.048764424778463954,0.20279712409986622,0.04819619940221613,0.05138339920948617,-0.003187199807270037,0.003187199807270037,0.048382031762507424,0.30039525691699603,0.05138339920948617,Penalized logistic,0.013414519680700386,0.02808099999992919,0.0062695999999959895,11.0,498,0.04819277108433735
0,Prior probability,uncalibrated,selection validation,0.0,0.5,0.05138339920948617,0.05138339920948617,1.0,0.09774436090225563,0.049555576985679875,0.21605660981387836,0.02288021534320323,0.05138339920948617,-0.02850318386628294,0.02850318386628294,0.01,1.0,0.05138339920948617,Prior probability,0.010723860589812333,0.00464060000012978,0.0028411000000687636,,498,0.04819277108433735
0,Prior probability [isotonic],isotonic,calibration,0.009876800000029107,0.5,0.05138339920948617,0.05138339920948617,1.0,0.09774436090225563,0.048753325602997714,0.20267732207863856,0.04819277108433735,0.05138339920948617,-0.003190628125148816,0.003190628125148816,0.01,1.0,0.05138339920948617,Prior probability,0.010723860589812333,0.00464060000012978,0.0028411000000687636,,498,0.04819277108433735
0,Prior probability [sigmoid],sigmoid,calibration,0.00957339999990836,0.5,0.05138339920948617,0.05138339920948617,1.0,0.09774436090225563,0.04875241508675754,0.20266741129880214,0.048338798809957235,0.05138339920948617,-0.0030446003995289322,0.0030446003995289322,0.01,1.0,0.05138339920948617,Prior probability,0.010723860589812333,0.00464060000012978,0.0028411000000687636,,498,0.04819277108433735
1,Choquistic 1-additive,uncalibrated,selection validation,0.0,0.524,0.012861604207758053,0.007936507936507936,1.0,0.015748031496062992,0.18862127448936364,0.5681631359375823,0.4276328536953079,0.007936507936507936,0.4196963457588,0.4196963457588,6.143211861326049e-30,1.0,0.007936507936507936,Choquistic 1-additive,0.07344614328513877,0.3715695999999298,0.2528535000001284,12.0,500,0.028
1,Choquistic 1-additive [isotonic],isotonic,calibration,0.01213259999985894,0.45400000000000007,0.007346632346632347,0.0,0.0,0.0,0.008040796326539906,0.13771969014323282,0.012801969143684033,0.007936507936507936,0.004865461207176097,0.004865461207176097,0.125,0.0,0.007936507936507936,Choquistic 1-additive,0.07344614328513877,0.3715695999999298,0.2528535000001284,12.0,500,0.028
1,Choquistic 1-additive [sigmoid],sigmoid,calibration,0.01255869999999959,0.524,0.012861604207758053,0.0,0.0,0.0,0.007947795965165974,0.04881786282069314,0.015422350203590287,0.007936507936507936,0.0074858422670823505,0.0074858422670823505,0.06836630085092199,0.0,0.007936507936507936,Choquistic 1-additive,0.07344614328513877,0.3715695999999298,0.2528535000001284,12.0,500,0.028
1,Choquistic 2-additive,uncalibrated,selection validation,0.0,0.672,0.018108816781383152,0.007936507936507936,1.0,0.015748031496062992,0.2635537866237111,0.7245629825025754,0.5050142540576081,0.007936507936507936,0.49707774612110023,0.49707774612110023,7.904194624071381e-26,1.0,0.007936507936507936,Choquistic 2-additive,0.09285671038996043,1.4371833000000152,1.148541699999896,57.0,500,0.028
1,Choquistic 2-additive [isotonic],isotonic,calibration,0.012330700000120487,0.406,0.008064516129032258,0.0,0.0,0.0,0.00805121080237303,0.05160611725420314,0.020436195340205063,0.007936507936507936,0.012499687403697127,0.012499687403697127,0.18181818181818182,0.0,0.007936507936507936,Choquistic 2-additive,0.09285671038996043,1.4371833000000152,1.148541699999896,57.0,500,0.028
1,Choquistic 2-additive [sigmoid],sigmoid,calibration,0.01345209999999497,0.672,0.018108816781383152,0.0,0.0,0.0,0.008075201179826883,0.051606282315130036,0.021146691146797077,0.007936507936507936,0.01321018321028914,0.01321018321028914,0.08319326912637179,0.0,0.007936507936507936,Choquistic 2-additive,0.09285671038996043,1.4371833000000152,1.148541699999896,57.0,500,0.028
