asset,fold,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
JPM,3,Choquet 2-additive L1,rolling_5y,6.941422135325582e-05,0.008331519750517057,0.00540043579302879,0.0059586810883279105,0.5919630785164265,0.7810491633452166,0.00860079854109407,0.2581509000156075,0.08876290003536269,29
JPM,3,Choquet 2-additive scaled-q,rolling_5y,0.00012541293780363378,0.011198791801066478,0.007758110362668148,0.00866863515644451,0.2627863850091957,0.6192773720926392,0.010936901150113776,0.014747000008355826,0.01124540000455454,30
JPM,3,Choquet 2-additive scaled-q L1,rolling_5y,0.00012584034581148177,0.011217858343350649,0.007774808605147403,0.008687116698758823,0.2602739568015495,0.6183862004616623,0.01094227220298298,0.04581729997880757,0.012891899968963116,30
JPM,3,Elastic net,rolling_5y,6.0283377657031934e-05,0.0077642370943339905,0.004995475698257126,0.005593192804957834,0.6456368254766398,0.8089381422660121,0.008019032644160885,0.033843600016552955,0.0022579000215046108,8
JPM,3,Lasso,rolling_5y,6.04150535731922e-05,0.007772712111817354,0.004999086504398058,0.005595783407087892,0.6448627962587634,0.8083205145853894,0.00802586917991451,0.014802399964537472,0.0022914999863132834,8
JPM,3,Monotone linear,rolling_5y,6.763222996971613e-05,0.00822388168505093,0.0053363920871129945,0.00587687339005995,0.6024381406013184,0.7859051053544557,0.008425455366780151,0.005164099973626435,0.0029670000076293945,8
JPM,3,OLS,rolling_5y,5.96966024521675e-05,0.007726357644593441,0.004992520886128751,0.005587331012887412,0.6490860602808064,0.8115507057322637,0.008071850315958303,0.0036039999686181545,0.0021241999929770827,8
JPM,3,OLS oriented,rolling_5y,5.96966024521675e-05,0.007726357644593441,0.004992520886128751,0.005587331012887412,0.6490860602808064,0.8115507057322637,0.008071850315958303,0.004774299974087626,0.0030106999911367893,8
JPM,3,Ridge,rolling_5y,5.9738828956727164e-05,0.007729089788372701,0.004991288792412805,0.005587520514912304,0.648837840642386,0.8112550776866245,0.00806659373997083,0.014501500001642853,0.0021563000045716763,8
JPM,4,Choquet 1-additive,rolling_5y,8.914686906990426e-05,0.009441761968504834,0.006177726689981497,0.007955905200148805,0.5862690997321056,0.7857306671447422,0.009240388971995117,0.01670650002779439,0.013242899964097887,8
JPM,4,Choquet 1-additive scaled-q,rolling_5y,0.0001649936274120476,0.0128449845236204,0.009342827785820884,0.010693838287142824,0.23426405526229088,0.5462493812559487,0.013167409801217538,0.008047099981922656,0.005562499980442226,9
JPM,4,Choquet 2-additive,rolling_5y,7.23935159574061e-05,0.008508437926987897,0.005663326668834672,0.007239587737063255,0.6640214643194089,0.8278203981058647,0.008306749153207161,0.09863639995455742,0.05483889998868108,29
JPM,4,Choquet 2-additive L1,rolling_5y,7.349444795538813e-05,0.008572890291808716,0.005654228883417495,0.00734405969920635,0.658912035447581,0.823802051234232,0.008246852017713927,0.26671200001146644,0.061461999954190105,29
JPM,4,Choquet 2-additive scaled-q,rolling_5y,0.00016499362741204758,0.012844984523620399,0.009342827785820882,0.01069383828714282,0.234264055262291,0.5462493812559486,0.011145298749136983,0.013284600048791617,0.006860199966467917,30
JPM,4,Choquet 2-additive scaled-q L1,rolling_5y,0.00016499362741204758,0.012844984523620399,0.009342827785820882,0.01069383828714282,0.234264055262291,0.5462493812559486,0.01116073391798633,0.04639530001441017,0.0071146999835036695,30
JPM,4,Elastic net,rolling_5y,6.046342317383674e-05,0.00777582299013016,0.004976409500817412,0.0067003845608663804,0.7193890625213741,0.8622202404950421,0.00774322699851153,0.034064399951603264,0.0025550000136718154,8
JPM,4,Lasso,rolling_5y,6.0518703495267613e-05,0.007779376806355868,0.004973679437000786,0.0066990010151655515,0.7191325063754174,0.86226632748367,0.0077445500179291,0.014627199969254434,0.002355000004172325,8
JPM,4,Monotone linear,rolling_5y,6.739024569346545e-05,0.00820915621080909,0.005300063550477645,0.00697181837210319,0.6872416573803739,0.8426424177828851,0.008257874167089825,0.005946099990978837,0.003175300022121519,8
JPM,4,OLS,rolling_5y,6.044497629721318e-05,0.007774636730884163,0.004977383348037608,0.006700871317677102,0.7194746745339129,0.8621985226318755,0.007742878707804129,0.0038432000437751412,0.0021254000021144748,8
JPM,4,OLS oriented,rolling_5y,6.044497629721318e-05,0.007774636730884163,0.004977383348037608,0.006700871317677102,0.7194746745339129,0.8621985226318755,0.007742878707804129,0.005280199984554201,0.0033497000113129616,8
JPM,4,Ridge,rolling_5y,6.044589879877918e-05,0.0077746960582893,0.004977334587205159,0.006700851803401785,0.7194703932012381,0.8622002036609078,0.0077428876943351635,0.015222199959680438,0.0024696000036783516,8
JPM,5,Choquet 1-additive,rolling_5y,6.573026694115697e-05,0.008107420486267933,0.006109283835346248,0.007451964010831948,0.7332486833574361,0.8570094104684053,0.00822128000788768,0.02677420002873987,0.022716299979947507,8
