asset,model,fit observations,extreme fit observations removed,extreme fit rate,test observations,stress test observations,full-fit test RMSE,reduced-fit test RMSE,test RMSE change,mean absolute prediction change,maximum absolute prediction change,full-fit stress RMSE,reduced-fit stress RMSE,stress mean absolute prediction change,failure
JPM,Choquet 1-additive,1509,84,0.055666003976143144,1652,527,0.01211897287124187,0.011388603570768369,-0.0007303693004735018,0.004175524022008571,0.03417075798838429,0.016480268568209434,0.017437649251889193,0.00607770843529009,
JPM,Choquet 2-additive,1509,84,0.055666003976143144,1652,527,0.012103444325072753,0.011485693823660775,-0.0006177505014119782,0.004183073462938408,0.03340874452260309,0.01658588034854237,0.017588040295316364,0.0061637424161759685,
JPM,Choquet 2-additive L1,1509,84,0.055666003976143144,1652,527,0.012125309746744686,0.011431267088499663,-0.0006940426582450233,0.004250030731225969,0.03415764882708715,0.01648910686058713,0.01751135907406194,0.006236257520173429,
KO,OLS,1509,86,0.05699138502319417,1652,521,0.008504865527984224,0.008832734699930256,0.0003278691719460318,0.0007080911528967576,0.007607364164972836,0.012294130498743347,0.013029028082662784,0.0012459480891830355,
KO,Ridge,1509,86,0.05699138502319417,1652,521,0.008504863121916267,0.008832738486587267,0.00032787536467100004,0.000708089826561742,0.007607292590826768,0.012294130296615042,0.013029038006950645,0.0012459492326440927,
KO,Lasso,1509,86,0.05699138502319417,1652,521,0.008498461130580554,0.008830399740729931,0.0003319386101493776,0.0006964130614716751,0.007630854729514039,0.012293527278671564,0.013034341403430303,0.0012298390041427176,
KO,Monotone linear,1509,86,0.05699138502319417,1652,521,0.008496246788578347,0.008836256644278865,0.0003400098557005179,0.0005782184310753553,0.007569903367611035,0.012340020161508527,0.013085969531626385,0.001034242646758922,
KO,Gradient boosting,1509,86,0.05699138502319417,1652,521,0.00885242213724176,0.009044044005085053,0.00019162186784329321,0.0013309360122729947,0.011018055129125822,0.012865957638110246,0.013334076171488655,0.0018024329759716627,
KO,Choquet 1-additive,1509,86,0.05699138502319417,1652,521,0.010502561597038189,0.009173195005645883,-0.0013293665913923051,0.003035616956233567,0.033702675849657006,0.013552357077948775,0.012850909878330067,0.004415173910896213,
KO,Choquet 2-additive,1509,86,0.05699138502319417,1652,521,0.010428239103502188,0.009247596913100412,-0.0011806421904017768,0.0031294970531334106,0.032419979900744585,0.013369475590796298,0.012936151348734739,0.004523316666864308,
KO,Choquet 2-additive L1,1509,86,0.05699138502319417,1652,521,0.010571270778238362,0.009244156141991618,-0.0013271146362467436,0.0030037364748879787,0.03083846864302351,0.013716744589270389,0.01293072118914749,0.004329247035897428,
MSFT,OLS,1509,84,0.055666003976143144,1652,511,0.01263947209367238,0.012579347272124872,-6.012482154750705e-05,0.001827855939874553,0.017307491473769906,0.019080583857676105,0.0192050638343565,0.004026963976906993,
MSFT,Ridge,1509,84,0.055666003976143144,1652,511,0.01260711147355292,0.012549622471894617,-5.748900165830281e-05,0.0018521644787855415,0.016667293425255476,0.019023468546661638,0.019157792056669922,0.0040572817059066285,
MSFT,Lasso,1509,84,0.055666003976143144,1652,511,0.012738631072228534,0.012688254185296207,-5.0376886932327475e-05,0.0018351688973811617,0.017468685714805695,0.019279027482987904,0.019421603397438144,0.004026859978377495,
MSFT,Monotone linear,1509,84,0.055666003976143144,1652,511,0.012873721193312555,0.013068730724592099,0.00019500953127954412,0.002410065967068777,0.01861757816638708,0.019494203616464516,0.019981561656357196,0.004619630964695236,
MSFT,Gradient boosting,1509,84,0.055666003976143144,1652,511,0.013254742163732586,0.013316219747194344,6.147758346175709e-05,0.0023226733553192835,0.01664739668407159,0.02012529421255934,0.020400570107271695,0.004883459159637003,
MSFT,Choquet 1-additive,1509,84,0.055666003976143144,1652,511,0.020516602748830305,0.01856882285817815,-0.0019477798906521564,0.008463343476476754,0.036174626825227284,0.030086392436600915,0.0266254481419541,0.011823388046646755,
MSFT,Choquet 2-additive,1509,84,0.055666003976143144,1652,511,0.02020130653426819,0.01864387453512718,-0.001557431999141011,0.007824693243436156,0.03723829245848536,0.029689419248442366,0.02680243416107667,0.011343138916683895,
MSFT,Choquet 2-additive L1,1509,84,0.055666003976143144,1652,511,0.02188270980861497,0.019823334343740662,-0.002059375464874308,0.01079232192907721,0.0412159196274193,0.03216260029783017,0.02817239026174828,0.015310170507170076,
NVDA,OLS,1509,83,0.05500331345261763,1652,509,0.021485219023610596,0.022164724950409886,0.0006795059267992905,0.0030493686008735265,0.03265109000720552,0.02905540543232303,0.030948737826017637,0.006315582016239448,
NVDA,Ridge,1509,83,0.05500331345261763,1652,509,0.02148483803363899,0.022164469225165344,0.0006796311915263538,0.003049311542845133,0.03264877306906702,0.029054904782907842,0.030948407401534376,0.006315461493549347,
NVDA,Lasso,1509,83,0.05500331345261763,1652,509,0.021422176506226298,0.022110763197283615,0.000688586691057317,0.0030446097828593327,0.03241822682514151,0.028968729631767845,0.030877332831314778,0.0063057790853721435,
NVDA,Monotone linear,1509,83,0.05500331345261763,1652,509,0.02052435967074313,0.021165977430165694,0.0006416177594225636,0.0028075380933514577,0.02487160261941848,0.027646608798435297,0.02946961066102013,0.005802697628925381,
NVDA,Gradient boosting,1509,83,0.05500331345261763,1652,509,0.021093295926128942,0.022070086250409304,0.0009767903242803612,0.0052468007001322415,0.036597884650430984,0.02805683204186781,0.030861392091800343,0.008800227755904019,
NVDA,Choquet 1-additive,1509,83,0.05500331345261763,1652,509,0.049840012586049906,0.027702847055697415,-0.02213716553035249,0.020713490139491766,0.11644851215505014,0.06828702753620987,0.03582608787493807,0.03460058123528665,
NVDA,Choquet 2-additive,1509,83,0.05500331345261763,1652,509,0.04912526290194981,0.027690219616216222,-0.021435043285733587,0.02029592243408909,0.11781415119557377,0.0671026676368584,0.035903657401333514,0.033657243483072696,
NVDA,Choquet 2-additive L1,1509,83,0.05500331345261763,1652,509,0.049837764262848784,0.027918628078327717,-0.021919136184521067,0.022138444092392236,0.1177472227554045,0.0686485483511741,0.036134124319312975,0.037801198962196914,
UNH,OLS,1509,89,0.058979456593770706,1652,529,0.0185101398533325,0.01871215614951719,0.00020201629618469066,0.0011396637760484102,0.011656397502535856,0.027081673713762303,0.02759802849884287,0.0019372498110979755,
