asset,model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
JPM,OLS oriented,sector_excess_return,-0.9177803356776724,0.9177803356776724,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.8845255805731917,-0.9269483063217795,-0.9384854068752843
JPM,OLS oriented,size_spread,-0.13465304120020227,0.13465304120020227,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.05298374435387906,-0.3050970329047123,0.0031223088672678624
JPM,OLS oriented,value_growth_spread,-0.12384161167897305,0.12384161167897305,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.014845132507683639,-0.35983138130643555,0.015370525722899655
JPM,OLS oriented,momentum_spread,0.05415620986699873,0.05415620986699873,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.05535731482223887,0.4353836361159917,-0.31742482256772636
JPM,OLS oriented,quality_spread,0.2380538964271743,0.2380538964271743,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.1313792435604873,0.3622556186729776,0.24262588942760235
JPM,OLS oriented,low_volatility_spread,0.6576676086553723,0.6576676086553723,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.6149269491775615,0.6986668835933469,0.6467894282030415
JPM,Monotone linear,market_excess_return,-0.7550871721771663,0.7550871721771663,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.7839116790075875,-0.7798427296736123,-0.7071199843961414
JPM,Monotone linear,sector_excess_return,-0.9177803356776724,0.9177803356776724,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.8845255805731917,-0.9269483063217795,-0.9384854068752843
JPM,Monotone linear,size_spread,-0.13465304120020227,0.13465304120020227,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.05298374435387906,-0.3050970329047123,0.0031223088672678624
JPM,Monotone linear,value_growth_spread,-0.12384161167897305,0.12384161167897305,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.014845132507683639,-0.35983138130643555,0.015370525722899655
JPM,Monotone linear,momentum_spread,0.05415620986699873,0.05415620986699873,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1257,training only (frozen before validation refit),-0.05535731482223887,0.4353836361159917,-0.31742482256772636
JPM,Monotone linear,quality_spread,0.2380538964271743,0.2380538964271743,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.1313792435604873,0.3622556186729776,0.24262588942760235
JPM,Monotone linear,low_volatility_spread,0.6576676086553723,0.6576676086553723,0.2,True,1.0,True,False,True,1.0,unchanged (positive training correlation),1257,training only (frozen before validation refit),0.6149269491775615,0.6986668835933469,0.6467894282030415
JPM,Choquet 1-additive,market_excess_return,-0.7550871721771663,0.7550871721771663,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.7839116790075875,-0.7798427296736123,-0.7071199843961414
JPM,Choquet 1-additive,sector_excess_return,-0.9177803356776724,0.9177803356776724,0.2,True,1.0,True,False,True,-1.0,multiplied by -1,1257,training only (frozen before validation refit),-0.8845255805731917,-0.9269483063217795,-0.9384854068752843
