asset,fold,model,evaluation_structure,OOS start,OOS end,best parameters,fitted q
AMZN,2,Choquet 1-additive,rolling_5y,2022-01-01,2023-01-01,{},
AMZN,2,Choquet 1-additive scaled-q,rolling_5y,2022-01-01,2023-01-01,{},0.3240862353070518
AMZN,2,Choquet 2-additive,rolling_5y,2022-01-01,2023-01-01,{},
AMZN,2,Choquet 2-additive L1,rolling_5y,2022-01-01,2023-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AMZN,2,Choquet 2-additive scaled-q,rolling_5y,2022-01-01,2023-01-01,{},0.3240862353070517
AMZN,2,Choquet 2-additive scaled-q L1,rolling_5y,2022-01-01,2023-01-01,"{'regressor__penalty': L1Penalty(weight=0.01, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3240862353070487
AMZN,2,Elastic net,rolling_5y,2022-01-01,2023-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}",
AMZN,2,Lasso,rolling_5y,2022-01-01,2023-01-01,{'regressor__alpha': 0.001},
AMZN,2,Monotone linear,rolling_5y,2022-01-01,2023-01-01,{},
AMZN,2,OLS,rolling_5y,2022-01-01,2023-01-01,{},
AMZN,2,OLS oriented,rolling_5y,2022-01-01,2023-01-01,{},
AMZN,2,Ridge,rolling_5y,2022-01-01,2023-01-01,{'regressor__alpha': 10.0},
AMZN,3,Choquet 1-additive,rolling_5y,2023-01-01,2024-01-01,{},
AMZN,3,Choquet 1-additive scaled-q,rolling_5y,2023-01-01,2024-01-01,{},0.352183085357898
AMZN,3,Choquet 2-additive,rolling_5y,2023-01-01,2024-01-01,{},
AMZN,3,Choquet 2-additive L1,rolling_5y,2023-01-01,2024-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",
AMZN,3,Choquet 2-additive scaled-q,rolling_5y,2023-01-01,2024-01-01,{},0.35328583950447984
AMZN,3,Choquet 2-additive scaled-q L1,rolling_5y,2023-01-01,2024-01-01,"{'regressor__penalty': L1Penalty(weight=0.001, selection=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27])}",0.3521830853578828
AMZN,3,Elastic net,rolling_5y,2023-01-01,2024-01-01,"{'regressor__alpha': 1e-05, 'regressor__l1_ratio': 0.25}",
