model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
RBF SVM [balanced],RBF SVM,balanced,uncalibrated,rolling_5y,0.14707293561653692,0.5007714300730001,0.21646937463476942,0.0682095006090134,0.14825987402575602,0.14825987402575602
RBF SVM [balanced] [sigmoid],RBF SVM,balanced,sigmoid,rolling_5y,0.06393004718697501,0.2556434330115811,0.05273094781335108,0.0682095006090134,-0.01547855279566232,0.01547855279566232
Random forest [balanced],Random forest,balanced,uncalibrated,rolling_5y,0.12721269744659222,0.4414083184369593,0.26354395597392466,0.0682095006090134,0.19533445536491126,0.19533445536491126
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.2580865472224393,0.7210880444205768,0.46956025261664947,0.0682095006090134,0.40135075200763604,0.40135075200763604
MLP [unweighted],MLP,unweighted,uncalibrated,rolling_5y,0.12459870197989702,0.41034567915795195,0.2625925457753851,0.0682095006090134,0.1943830451663717,0.1943830451663717
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.06582805979598903,0.2688251333425799,0.06961289252953633,0.0682095006090134,0.0014033919205229256,0.0014033919205229256
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.1159122984871301,0.5135026237557868,0.14665480389493837,0.0682095006090134,0.07844530328592497,0.07844530328592497
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.06960071515922447,0.26812630078238625,0.0855412113396501,0.0682095006090134,0.017331710730636704,0.017331710730636704
RBF SVM [unweighted],RBF SVM,unweighted,uncalibrated,rolling_5y,0.16526861413180474,0.5818104914843074,0.2616802290877238,0.0682095006090134,0.1934707284787104,0.1934707284787104
MLP [unweighted] [sigmoid],MLP,unweighted,sigmoid,rolling_5y,0.06521158212461203,0.26331605656055823,0.0765514383025253,0.0682095006090134,0.008341937693511894,0.008341937693511894
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.06722047778852636,0.2643485427008396,0.07659156034673069,0.0682095006090134,0.008382059737717287,0.008382059737717287
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.0644917881220995,0.256327905144875,0.06756678969862426,0.0682095006090134,-0.0006427109103891437,0.0006427109103891437
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.0655787449308055,0.25540678189205357,0.0756870190460664,0.0682095006090134,0.0074775184370529935,0.0074775184370529935
Explicit interactions [balanced] [sigmoid],Explicit interactions,balanced,sigmoid,rolling_5y,0.06479708024915692,0.25798474758766643,0.06618654374924764,0.0682095006090134,-0.002022956859765765,0.002022956859765765
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.0797239961542837,0.46042261346623786,0.0780369570661895,0.0682095006090134,0.0098274564571761,0.0098274564571761
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.06455597676501351,0.2544793896785488,0.06586086228960518,0.0682095006090134,-0.002348638319408222,0.002348638319408222
Fuzzy Choquet neural network [unweighted] [sigmoid],Fuzzy Choquet neural network,unweighted,sigmoid,rolling_5y,0.06415246928579409,0.252453729235737,0.06314558042992935,0.0682095006090134,-0.005063920179084053,0.005063920179084053
Fuzzy Choquet neural network [balanced] [sigmoid],Fuzzy Choquet neural network,balanced,sigmoid,rolling_5y,0.06449208580062524,0.2547483062819432,0.06595525844745372,0.0682095006090134,-0.002254242161559686,0.002254242161559686
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.06418528805083291,0.2521407152250102,0.06304617812135388,0.0682095006090134,-0.005163322487659522,0.005163322487659522
