first,second,mean,std,min,max,count,sign persistence,mean absolute interaction
vix,liquidity_stress_20d,0.007423081569441087,0.017832362988835376,-0.001972007347911302,0.03928809354264774,5,0.6,0.008292155847618013
realized_volatility_20d,drawdown_severity,0.006136620503030303,0.016728063723443674,-0.005114213574810511,0.035797316089962,5,0.6,0.00818230593295451
vix,drawdown_severity,-0.00797483135941376,0.01783226502874624,-0.039874156797068835,8.943056334608227e-18,5,0.8,0.007974831359413771
realized_volatility_20d,average_equity_correlation_60d,-0.007569885717074234,0.016926779045282732,-0.03784942858537118,3.6966068486116874e-17,5,0.6,0.00756988571707425
liquidity_stress_20d,lagged_portfolio_loss_1d,0.006461970770328651,0.014449405911071564,-2.0468876538611654e-17,0.03230985385164329,5,0.6,0.006461970770328665
vix,realized_volatility_20d,0.0026726992845353013,0.007510528459850089,-0.0022618264521477014,0.016002824498724217,5,0.6,0.0037284305149543873
drawdown_severity,average_equity_correlation_60d,0.003495634126297247,0.007816475530868732,-1.4938715282440226e-17,0.01747817063148624,5,0.6,0.003495634126297254
market_loss_1d,average_equity_correlation_60d,-0.001978050055995685,0.004423054388103624,-0.009890250279978436,2.606209235140555e-17,5,0.8,0.001978050055995695
baa_credit_spread_pct,lagged_portfolio_loss_1d,-0.0018597948197296246,0.003177572432833141,-0.007337105928313957,2.1297730660186393e-17,5,0.6,0.0018597948197296352
baa_credit_spread_pct,average_equity_correlation_60d,-0.001854646399985811,0.0026752441165863667,-0.005826127415623815,1.390200120993625e-17,5,0.8,0.0018546463999858168
negative_momentum_21d,lagged_portfolio_loss_1d,-0.0015690412675789182,0.0035084829338088526,-0.00784520633789451,-5.720360372967642e-18,5,1.0,0.0015690412675789186
market_loss_1d,baa_credit_spread_pct,-0.0006130019317807294,0.0013707139898003985,-0.003065009658903645,1.4502912715501813e-18,5,0.6,0.0006130019317807302
market_loss_1d,negative_momentum_21d,-0.0005340776749070901,0.0008865143611832434,-0.0020438332452797463,7.115411510288479e-18,5,0.8,0.0005340776749070928
baa_credit_spread_pct,term_spread_10y_2y_pct,0.0002888995881625725,0.0006459991178031765,-6.854650371706125e-20,0.0014444979408128104,5,0.8,0.0002888995881625725
market_loss_1d,drawdown_severity,-0.00027080748653902665,0.0006055439487171526,-0.0013540374326951865,8.069039324221082e-17,5,0.8,0.0002708074865390589
vix,lagged_portfolio_loss_1d,7.25468709990492e-18,1.6962775866758638e-17,-1.5081898807441483e-17,3.006854142967668e-17,5,0.6,1.3318999624935367e-17
market_loss_1d,liquidity_stress_20d,7.241739136646634e-18,1.519094776910245e-17,-1.2462182004306916e-17,3.0193983468681053e-17,5,0.8,1.22266119383694e-17
market_loss_1d,vix,-8.009640400493844e-18,1.2223740935667092e-17,-2.6066972576466408e-17,7.712228725462786e-18,5,0.8,1.1094531890678957e-17
drawdown_severity,liquidity_stress_20d,-5.148641711902882e-18,1.932740026866977e-17,-3.9031355973591106e-17,8.00124938356965e-18,5,0.6,1.0840364016360635e-17
average_equity_correlation_60d,negative_momentum_21d,-3.4517090383110946e-19,1.502305347426227e-17,-1.2572092326777463e-17,2.582511673370514e-17,5,0.8,1.0675217597313166e-17
average_equity_correlation_60d,lagged_portfolio_loss_1d,-9.671418609493142e-19,1.2046877103687387e-17,-1.2372425949725329e-17,1.8135266727338963e-17,5,0.6,8.836843779896835e-18
drawdown_severity,negative_momentum_21d,-7.621394711425286e-18,9.646293941889271e-18,-2.1986870452822754e-17,2.819207111477408e-18,5,0.8,8.749077556016249e-18
liquidity_stress_20d,baa_credit_spread_pct,2.979894130195595e-18,1.104959899158553e-17,-3.970297560001405e-18,2.1966487843802457e-17,5,0.6,7.211194321601243e-18
vix,negative_momentum_21d,2.0837830589913777e-18,8.96106576343075e-18,-9.290106457403769e-18,1.4200930850855654e-17,5,0.6,6.776753358013189e-18
liquidity_stress_20d,negative_momentum_21d,-1.555653691745579e-18,4.183855383206913e-18,-8.564316906357149e-18,2.5891780452451446e-18,5,0.8,2.5913249098436366e-18
