model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.03692720804693334,0.16412238930927145,0.0350272491476568,0.03825136612021858,-0.00322411697256178,0.00322411697256178
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.03759649203438498,0.16936295204965046,0.03792257561680526,0.03825136612021858,-0.0003287905034133204,0.0003287905034133204
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.33755662342964776,1.1153682545317316,0.43136315612639275,0.03825136612021858,0.3931117900061742,0.3931117900061742
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,rolling_5y,0.037118974522507515,0.167428250488178,0.035734520127499766,0.03825136612021858,-0.0025168459927188136,0.0025168459927188136
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.20497467669163025,0.5643628097654542,0.2808919145144387,0.03825136612021858,0.2426405483942201,0.2426405483942201
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.6094183063391002,3.799240107303719,0.7243999859351142,0.03825136612021858,0.6861486198148956,0.6861486198148956
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.6094183063391002,3.799240107303719,0.7243999859351142,0.03825136612021858,0.6861486198148956,0.6861486198148956
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.037367268058085705,0.16883069737813505,0.03847144565296512,0.03825136612021858,0.00022007953274653935,0.00022007953274653935
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.33868060769209263,2.049921289627709,0.38066676908420766,0.03825136612021858,0.3424154029639891,0.3424154029639891
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.33868060769209263,2.049921289627709,0.38066676908420766,0.03825136612021858,0.3424154029639891,0.3424154029639891
