asset,model,first,second,interaction,interpretation
AAPL,Choquet 2-additive scaled-q,value_growth_spread,low_volatility_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,value_growth_spread,momentum_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q,value_growth_spread,quality_spread,9.25185853854297e-18,complementary
AAPL,Choquet 2-additive scaled-q L1,market_excess_return,low_volatility_spread,-2.4404968240743223e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,market_excess_return,momentum_spread,-2.497801865342096e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,market_excess_return,quality_spread,-2.5368843553641444e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,market_excess_return,sector_excess_return,-2.3195994301265316e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,market_excess_return,size_spread,-2.7349109477103896e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,market_excess_return,value_growth_spread,-2.4819020718232676e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,momentum_spread,low_volatility_spread,-2.516495511047564e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,momentum_spread,quality_spread,-2.54445465438143e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,quality_spread,low_volatility_spread,-2.5435913116507917e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,sector_excess_return,low_volatility_spread,-2.445877669843277e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,sector_excess_return,momentum_spread,-2.4991813840635752e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,sector_excess_return,quality_spread,-2.537510088163052e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,sector_excess_return,size_spread,-2.7400172769587167e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,sector_excess_return,value_growth_spread,-2.486955193633141e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,size_spread,low_volatility_spread,-2.7192287902858915e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,size_spread,momentum_spread,-2.6849180564022155e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,size_spread,quality_spread,-2.7241307339516866e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,size_spread,value_growth_spread,-2.6586339028448573e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,value_growth_spread,low_volatility_spread,-2.490568974204225e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,value_growth_spread,momentum_spread,-2.5077747906054883e-09,redundant
AAPL,Choquet 2-additive scaled-q L1,value_growth_spread,quality_spread,-2.5160021288606056e-09,redundant
AMZN,Choquet 1-additive,market_excess_return,low_volatility_spread,3.0285380684761765e-18,complementary
AMZN,Choquet 1-additive,market_excess_return,momentum_spread,-2.7538735181131803e-18,redundant
AMZN,Choquet 1-additive,market_excess_return,quality_spread,8.745897524716406e-19,complementary
AMZN,Choquet 1-additive,market_excess_return,sector_excess_return,1.2280396607019147e-17,complementary
AMZN,Choquet 1-additive,market_excess_return,size_spread,-4.8933658051512425e-18,redundant
AMZN,Choquet 1-additive,market_excess_return,value_growth_spread,-7.148506323921093e-18,redundant
AMZN,Choquet 1-additive,momentum_spread,low_volatility_spread,4.842769703768588e-19,complementary
AMZN,Choquet 1-additive,momentum_spread,quality_spread,-6.989490005289885e-18,redundant
AMZN,Choquet 1-additive,quality_spread,low_volatility_spread,2.544261098099317e-18,complementary
AMZN,Choquet 1-additive,sector_excess_return,low_volatility_spread,9.967431972383403e-18,complementary
AMZN,Choquet 1-additive,sector_excess_return,momentum_spread,4.185020385794048e-18,complementary
AMZN,Choquet 1-additive,sector_excess_return,quality_spread,1.012644829101461e-17,complementary
AMZN,Choquet 1-additive,sector_excess_return,size_spread,-7.206330439786983e-18,redundant
AMZN,Choquet 1-additive,sector_excess_return,value_growth_spread,2.754596319561505e-17,complementary
AMZN,Choquet 1-additive,size_spread,low_volatility_spread,-4.315124646492307e-18,redundant
AMZN,Choquet 1-additive,size_spread,momentum_spread,-1.3082706214658416e-18,redundant
AMZN,Choquet 1-additive,size_spread,quality_spread,-7.683379395680607e-18,redundant
AMZN,Choquet 1-additive,size_spread,value_growth_spread,-5.240310500346604e-18,redundant
AMZN,Choquet 1-additive,value_growth_spread,low_volatility_spread,-8.07369217777539e-18,redundant
AMZN,Choquet 1-additive,value_growth_spread,momentum_spread,-4.604245225821775e-18,redundant
AMZN,Choquet 1-additive,value_growth_spread,quality_spread,-9.75781955236954e-19,redundant
AMZN,Choquet 1-additive scaled-q,market_excess_return,low_volatility_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,market_excess_return,momentum_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,market_excess_return,quality_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,market_excess_return,sector_excess_return,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,market_excess_return,size_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,market_excess_return,value_growth_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,momentum_spread,low_volatility_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,momentum_spread,quality_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,quality_spread,low_volatility_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,sector_excess_return,low_volatility_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,sector_excess_return,momentum_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,sector_excess_return,quality_spread,9.25185853854297e-18,complementary
AMZN,Choquet 1-additive scaled-q,sector_excess_return,size_spread,9.25185853854297e-18,complementary
