fold,model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,best parameters
1,Choquet 2-additive,0.0004860685823617321,0.022046963109728562,0.016886242074944557,0.020014744761741886,-0.625665222033666,-0.17089602933659598,0.047998977709062404,0.5078720000000203,0.7471926000000622,56.0,{}
1,Choquet 2-additive L1,0.0006868997331947579,0.02620877206575611,0.020288151622860146,0.021810833424379297,-1.2973486618970513,-0.1751383775804802,0.04771254095712462,2.567724699999985,1.021996100000024,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=0.01, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
1,Elastic net,0.00030590945191781804,0.0174902673483803,0.014299666347379756,0.017548192099606532,-0.02311973067224793,0.0523333063366919,0.04044791107804465,0.04195909999998548,0.003310100000021521,11.0,"{'regressor__alpha': 0.0001, 'regressor__l1_ratio': 0.5}"
1,Explicit interactions,0.0008041993997928901,0.028358409683776172,0.02322559567374904,0.02889929053305943,-1.689659532141317,0.2546520892455991,0.052842497660569636,0.022458799999981238,0.004034699999920122,56.0,{'regressor__ridge__alpha': 10.0}
1,Gradient boosting,0.000298317488979278,0.01727186987501,0.013943403150423573,0.01739352004726576,0.0022717275787362823,0.12664236116300917,0.04262959916555817,0.7877002000000175,0.06537330000003294,,"{'regressor__l2_regularization': 0.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
1,Historical mean,0.0002989967280924375,0.017291521855881786,0.013976839138060889,0.0177755181874255,0.0,,0.04100684386763372,0.004186899999922389,0.00279560000001311,,{}
1,Lasso,0.0003069053866783448,0.01751871532614035,0.014330879230495936,0.017586081942820006,-0.026450652608687397,0.04130444655797679,0.04048112467316489,0.018334600000002865,0.0032565000000204236,11.0,{'regressor__alpha': 1e-05}
1,MLP,0.007850855276868051,0.0886050522084833,0.07263612608899492,0.07740343285675598,-25.25732838936247,0.19217946359958704,0.09958423272873788,2.8488360000000057,0.6126521999999568,,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32, 16)}"
1,Monotone linear,0.0002989967280924374,0.017291521855881783,0.013976839138060889,0.017775518187425503,3.3306690738754696e-16,3.8330610940252224e-17,0.04104276236495424,0.006259600000021237,0.0041995999999926426,11.0,{}
1,OLS,0.00030715626294804214,0.017525874099400637,0.01433864887143205,0.0175960853123858,-0.027289712859607018,0.038807075571478784,0.04049142622075873,0.004731299999889416,0.0033478000000286556,11.0,{}
1,OLS oriented,0.00030715626294804214,0.017525874099400637,0.01433864887143205,0.0175960853123858,-0.027289712859607018,0.038807075571478784,0.04049142622075873,0.00629849999995713,0.004229200000054334,11.0,{}
1,Random forest,0.0002943143409306519,0.01715559211833424,0.013842448276650657,0.017613341229338976,0.01566032910011661,0.15667802148446405,0.04146079278143925,1.6663704000000052,0.22545560000003206,,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 20}"
1,Ridge,0.00030639171280438354,0.0175040484689795,0.014317793201492247,0.01758463693976614,-0.024732660986376276,0.0440910027008821,0.04048441532612078,0.018199199999912707,0.0030979000000570522,11.0,{'regressor__alpha': 10.0}
2,Choquet 1-additive,0.0022117758769705474,0.047029521334695165,0.03798535976558356,0.046617212711687554,-0.7449829240572714,-0.09810029661770453,0.029179924484243547,0.1662473000000091,0.07896570000002612,11.0,{}
2,Choquet 2-additive,0.001957709299427941,0.04424600885309251,0.03654686434390439,0.04578071040843593,-0.54453682822917,0.0013497981613450523,0.0238548109558073,0.837024700000029,0.8459428999999545,56.0,{}
2,Choquet 2-additive L1,0.0019516949546582016,0.04417799174541778,0.036512564538329094,0.04571313785926669,-0.539791804543966,0.0017894519245898694,0.023711119007138178,3.5655348999999887,0.8628184000000374,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
2,Elastic net,0.0012147637134403736,0.03485346056621026,0.028514701486792804,0.03710413302479522,0.041610879841384785,0.26964272399003575,0.017650600408977028,0.04274290000000747,0.003165299999977833,11.0,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
2,Explicit interactions,0.001377881241841832,0.03711982276145499,0.030516628444894164,0.035586505476540485,-0.08708086720164632,0.1531560982852888,0.02872254483811361,0.022853000000054635,0.004282200000034209,56.0,{'regressor__ridge__alpha': 10.0}
2,Gradient boosting,0.001290528103233976,0.03592392104481325,0.0292532401964885,0.036143075012140785,-0.018163515845821543,0.1219036890010188,0.017835054139762066,0.8502498999999943,0.06753579999997328,,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
2,Historical mean,0.0012675057425937056,0.03560204688769602,0.029199944382718973,0.038143470432279454,0.0,,0.017434274674548087,0.0042016999999532345,0.0028284999999641514,,{}
2,Lasso,0.0012675057425937056,0.03560204688769602,0.029199944382718973,0.038143470432279454,0.0,,0.017434274674548087,0.018848299999945084,0.0031595000000379514,11.0,{'regressor__alpha': 0.01}
2,MLP,0.005084829269540298,0.07130798881990921,0.05667534859222582,0.059136186896536304,-3.011681445430912,0.24368949253515532,0.06175345934835417,1.5403377999999748,0.5724071999999296,,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32,)}"
2,Monotone linear,0.0012675057425937056,0.03560204688769602,0.029199944382718973,0.038143470432279454,0.0,,0.017434274674548087,0.0062282999999752064,0.004060600000002523,11.0,{}
2,OLS,0.0011865786961982232,0.0344467516058949,0.027872563081137555,0.034987215362340035,0.06384747908903421,0.12747858922481445,0.018173987030642044,0.004831099999933031,0.003382600000009006,11.0,{}
2,OLS oriented,0.0011865786961982232,0.0344467516058949,0.027872563081137555,0.034987215362340035,0.06384747908903421,0.12747858922481445,0.018173987030642044,0.006416899999976522,0.004247000000077605,11.0,{}
2,Random forest,0.0012575639836365493,0.03546214860434361,0.028967735012835668,0.03741447715233511,0.00784356127398067,-0.01923910888990666,0.017373891950126515,1.7391519000000244,0.22739179999996395,,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 5}"
2,Ridge,0.0011832295700867576,0.034398104164136106,0.02787315927734493,0.03511608430658371,0.06648977568692738,0.13473402189549974,0.01806616298941662,0.018173699999920245,0.0034165999999231644,11.0,{'regressor__alpha': 10.0}
3,Choquet 1-additive,0.0014795446242818963,0.038464849203940686,0.03317863589179488,0.03975806750568002,-3.909528826581832,-0.29811229951712725,0.04715297950917115,0.1429253000000017,0.09726519999992433,11.0,{}
3,Choquet 2-additive,0.0014843548135169769,0.038527325543268334,0.03383688618754141,0.04088386839897991,-3.9254903341452847,-0.30139294533149114,0.043642488266008764,0.9039282999999614,0.8918155999999726,56.0,{}
3,Choquet 2-additive L1,0.001477084615511873,0.038432858539430466,0.03372887323615005,0.040792477324869965,-3.901365852804725,-0.30033417854529026,0.043559198593629965,3.362184100000036,0.8587534000000687,56.0,"{'regressor__regressor__penalty': L1Penalty(weight=0.0001, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
3,Elastic net,0.0006223109425079654,0.024946160877136293,0.02113706846977066,0.01796173740357309,-1.0649958515601017,0.5041153602933117,0.034523447601965594,0.04378029999998034,0.0032294999999749052,11.0,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.25}"
3,Explicit interactions,0.00034409793335935283,0.01854987690954721,0.014602458126451088,0.015801078218839353,-0.14180991588199987,0.15678728406552742,0.03755685073266786,0.02454879999993409,0.004231300000014926,56.0,{'regressor__ridge__alpha': 10.0}
3,Gradient boosting,0.0005110399531188885,0.02260619280460309,0.018047346980968066,0.016461086412355663,-0.6957686440785447,0.26556695067117136,0.036514069727054795,0.7514166000000841,0.07408720000000812,,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
3,Historical mean,0.00030136183665347815,0.01735977639986985,0.013594305890344327,0.01604802578742776,0.0,,0.03580782607096226,0.004154100000050676,0.002813599999967664,,{}
3,Lasso,0.0006940175713092454,0.026344213241416895,0.022699733662259,0.019013597699672976,-1.3029378205816537,0.49558220345038245,0.034756445608504154,0.019565800000009403,0.0034166000000368513,11.0,{'regressor__alpha': 0.0001}
3,MLP,0.002452269904402522,0.04952039887160161,0.03995090288666617,0.037459296394645875,-7.137294129987243,-0.032929757957249825,0.06698045301030703,1.4437404999999899,0.9108942000000297,,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32, 16)}"
3,Monotone linear,0.00030136183665347826,0.017359776399869853,0.013594305890344329,0.01604802578742776,-4.440892098500626e-16,,0.03580782607096226,0.006567000000018197,0.00405030000001716,11.0,{}
3,OLS,0.0007374842869759848,0.027156661926238005,0.023591201930042764,0.019653539807337642,-1.4471721275842349,0.4883950813669456,0.03507313155108854,0.0049046999999973195,0.0035992000000533153,11.0,{}
3,OLS oriented,0.0007374842869759848,0.027156661926238005,0.023591201930042764,0.019653539807337642,-1.4471721275842349,0.4883950813669456,0.03507313155108854,0.0061342000000195185,0.004165800000009767,11.0,{}
3,Random forest,0.0007764807885290042,0.027865404869281987,0.02380656699641654,0.019753157568962995,-1.5765730563350764,0.34449388551747884,0.034346358645010115,1.7467861000000084,0.2708043000000089,,"{'regressor__max_depth': 6, 'regressor__min_samples_leaf': 20}"
3,Ridge,0.0007156358323613532,0.02675137066322683,0.023151031446157218,0.01933590823077446,-1.3746730518643253,0.48803904657748504,0.034843492549170796,0.019241299999976036,0.0031419000000596498,11.0,{'regressor__alpha': 10.0}
4,Choquet 1-additive,0.0006591272464296358,0.02567347359493132,0.020775995843389593,0.025346168068257905,-1.201209734714995,-0.08866982917427359,0.03901815611616165,0.14352680000001783,0.11510509999993701,11.0,{}
4,Choquet 2-additive,0.0005024711242085796,0.02241586768805927,0.017533708422131682,0.022739770148996512,-0.6780437100913974,-0.06889353582661814,0.03663887668259115,0.7299163000000135,1.1737243999999691,56.0,{}
