asset,model,stress observations,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation
NVDA,OLS oriented,509,0.0008442165848366668,0.02905540543232303,0.020765791757767965,0.02313816324244767,0.6252571246962997,0.7911366590649866
NVDA,Choquet 1-additive,509,0.0048856569137191025,0.06989747430143026,0.05864873214434734,0.05857672760324217,-1.1687149393644312,0.7100127454519444
UNH,OLS,529,0.0007334170511386841,0.027081673713762303,0.015607800608699866,0.023704011696575277,0.2870110953809305,0.571452291825157
UNH,OLS oriented,529,0.0007334170511386841,0.027081673713762303,0.015607800608699866,0.023704011696575277,0.2870110953809305,0.571452291825157
UNH,Ridge,529,0.0007334183280615392,0.027081697289157103,0.015607798120718533,0.023704026254835038,0.2870098540246975,0.5714518065331436
UNH,Lasso,529,0.0007339291527805708,0.027091126827442427,0.015528518532113969,0.023693022301528813,0.2865132575025561,0.5769759896934242
UNH,Elastic net,529,0.0007421632756927001,0.027242673798522424,0.015452073195948797,0.023775866519456186,0.27850848277513063,0.5822026592258985
UNH,Monotone linear,529,0.0007442029350386409,0.027280083120083065,0.015716503217288725,0.023863471003809058,0.2765256348435199,0.5656157865167006
UNH,Choquet 1-additive,529,0.0009102729356209978,0.030170729782704922,0.020248382421191858,0.0272321678970349,0.11508124570439537,0.4064487354330352
WMT,Monotone linear,523,0.0002705243677465504,0.01644762498802032,0.010136353333709894,0.013933959289774436,0.3295445512558005,0.576770279588953
WMT,Elastic net,523,0.0002718528360843543,0.016487960337299285,0.00995633789997766,0.014011286562665726,0.32625213496449157,0.5849963120226369
WMT,Lasso,523,0.00027399098160030267,0.016552672944280106,0.009975439167943974,0.014114507162967627,0.32095305110259487,0.5847815270920392
WMT,OLS,523,0.00027566429071275065,0.016603140989365557,0.010284813197120492,0.01407058519880349,0.3168059969158713,0.5641663153250338
WMT,OLS oriented,523,0.00027566429071275065,0.016603140989365557,0.010284813197120492,0.01407058519880349,0.3168059969158713,0.5641663153250338
WMT,Ridge,523,0.00027611211568804943,0.016616621668920833,0.01028456150398072,0.014083167740154324,0.3156961276006822,0.5632915398303613
WMT,Choquet 1-additive,523,0.0008595909804108954,0.02931878204173726,0.022462038820596695,0.025381929508115634,-1.1303716974132074,0.32528312144612453
XOM,OLS,545,0.00022834833988590996,0.015111199154465207,0.009460416472377801,0.013167654390441432,0.7229791253854274,0.9028632345192218
XOM,OLS oriented,545,0.00022834833988590996,0.015111199154465207,0.009460416472377801,0.013167654390441432,0.7229791253854274,0.9028632345192218
XOM,Ridge,545,0.0002283510068424949,0.015111287398580404,0.009460500869637728,0.013167769208684857,0.722975889966041,0.9028631267793725
XOM,Elastic net,545,0.00023114431767005164,0.01520343111504938,0.009505502305024177,0.013276396766585603,0.7195871838825777,0.9051651064591203
XOM,Lasso,545,0.0002322169364028427,0.015238665834082808,0.009527027889226153,0.013317443962072037,0.71828593606254,0.9057657745334671
XOM,Monotone linear,545,0.0002524281513903872,0.015887987644456023,0.01029688073161824,0.01408489638684999,0.6937666929812453,0.8953450748268412
XOM,Choquet 1-additive,545,0.0002948917311915732,0.01717241192120586,0.012116364909304499,0.015335367127790496,0.6422519851376606,0.8272800872421526
