fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,class weight,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence
5,Choquistic 1-additive [unweighted] [sigmoid],sigmoid,calibration,0.01717619999908493,0.17254273504273504,0.0395629294952584,0.060085836909871244,0.875,0.11244979919678715,0.07131287725305076,0.2949088450020803,0.1241839047745753,0.064,0.0601839047745753,0.0601839047745753,0.0480690111912517,0.932,0.064,Choquistic 1-additive,unweighted,0.10816793680555341,0.7361251000002085,0.31438820000039414,12.0,492,0.036585365853658534
5,Choquistic 2-additive [balanced],uncalibrated,selection validation,0.0,0.6981837606837606,0.1403421229370796,0.064,1.0,0.12030075187969924,0.31064718541808123,0.8216698950845036,0.5650394517723116,0.064,0.5010394517723116,0.5010394517723116,1.1319710705779495e-62,1.0,0.064,Choquistic 2-additive,balanced,0.10824995099532647,1.6228147000001627,1.096536200002447,57.0,492,0.036585365853658534
5,Choquistic 2-additive [balanced] [sigmoid],sigmoid,calibration,0.023239599999214988,0.6981837606837606,0.1403421229370796,0.16129032258064516,0.3125,0.2127659574468085,0.06061488256579363,0.2460330991032902,0.0367730355162787,0.064,-0.0272269644837213,0.0272269644837213,0.03718632270716305,0.124,0.064,Choquistic 2-additive,balanced,0.10824995099532647,1.6228147000001627,1.096536200002447,57.0,492,0.036585365853658534
5,Choquistic 2-additive [unweighted],uncalibrated,selection validation,0.0,0.6722756410256411,0.12842302513328532,0.064,1.0,0.12030075187969924,0.060899070837088246,0.24246487237712008,0.10969678690026817,0.064,0.04569678690026817,0.04569678690026817,7.862613691480609e-44,1.0,0.064,Choquistic 2-additive,unweighted,0.10822921647354374,1.8426374999980908,1.5203906999995525,57.0,492,0.036585365853658534
5,Choquistic 2-additive [unweighted] [sigmoid],sigmoid,calibration,0.014162800001940923,0.6722756410256411,0.12842302513328532,0.16129032258064516,0.3125,0.2127659574468085,0.06059483378941049,0.245756173595717,0.036835432549746396,0.064,-0.027164567450253606,0.027164567450253606,0.037615566398230584,0.124,0.064,Choquistic 2-additive,unweighted,0.10822921647354374,1.8426374999980908,1.5203906999995525,57.0,492,0.036585365853658534
5,Explicit interactions [balanced],uncalibrated,selection validation,0.0,0.9511217948717949,0.46391728882053956,0.064,1.0,0.12030075187969924,0.398084174011614,1.00696276525859,0.6537557115130894,0.064,0.5897557115130894,0.5897557115130894,0.21238910587043813,1.0,0.064,Explicit interactions,balanced,0.12248441613100183,0.0403232000026037,0.010589400000753812,56.0,492,0.036585365853658534
5,Explicit interactions [balanced] [sigmoid],sigmoid,calibration,0.012865300002886215,0.9511217948717949,0.46391728882053956,0.0,0.0,0.0,0.06066032587113309,0.24666377926281563,0.03535624714279897,0.064,-0.028643752857201034,0.028643752857201034,0.036353226892020855,0.004,0.064,Explicit interactions,balanced,0.12248441613100183,0.0403232000026037,0.010589400000753812,56.0,492,0.036585365853658534
5,Explicit interactions [unweighted],uncalibrated,selection validation,0.0,0.9276175213675214,0.38966289317629454,0.064,1.0,0.12030075187969924,0.06089609835878391,0.24564269724992735,0.13479523548467662,0.064,0.07079523548467662,0.07079523548467662,0.04359253924245178,1.0,0.064,Explicit interactions,unweighted,0.12077568451798841,0.0786872000026051,0.007985500000359025,56.0,492,0.036585365853658534
5,Explicit interactions [unweighted] [sigmoid],sigmoid,calibration,0.012435399999958463,0.07238247863247863,0.03622107294372256,0.0642570281124498,1.0,0.12075471698113208,0.06063043344486961,0.246162291211828,0.04092043384289113,0.064,-0.02307956615710887,0.02307956615710887,0.03533112071131601,0.996,0.064,Explicit interactions,unweighted,0.12077568451798841,0.0786872000026051,0.007985500000359025,56.0,492,0.036585365853658534
5,Gradient boosting [balanced],uncalibrated,selection validation,0.0,0.43028846153846156,0.1517245039895163,0.0,0.0,0.0,0.23203835814207016,0.6554554882869542,0.41304688545385465,0.064,0.34904688545385465,0.34904688545385465,0.9728980204600094,0.0,0.064,Gradient boosting,balanced,0.13495934959349593,0.6039300999982515,0.07824260000052163,,492,0.036585365853658534
5,Gradient boosting [balanced] [sigmoid],sigmoid,calibration,0.02115110000158893,0.43028846153846156,0.1517245039895163,0.02666666666666667,0.25,0.04819277108433735,0.060692807313185916,0.2533112629312354,0.042852001219480164,0.064,-0.021147998780519837,0.021147998780519837,0.03732312875956335,0.6,0.064,Gradient boosting,balanced,0.13495934959349593,0.6039300999982515,0.07824260000052163,,492,0.036585365853658534
5,Gradient boosting [unweighted],uncalibrated,selection validation,0.0,0.4165331196581196,0.16534197774610493,0.064,1.0,0.12030075187969924,0.08284213931687431,0.30725496680630626,0.16318784062422875,0.064,0.09918784062422875,0.09918784062422875,0.01,1.0,0.064,Gradient boosting,unweighted,0.11209139400196311,0.5499055000000226,0.08069279999835999,,492,0.036585365853658534
5,Gradient boosting [unweighted] [sigmoid],sigmoid,calibration,0.0288405999999668,0.4165331196581196,0.16534197774610493,0.02531645569620253,0.25,0.04597701149425287,0.0600480322798784,0.2433676916134882,0.0403782068337547,0.064,-0.023621793166245304,0.023621793166245304,0.03691507766304987,0.632,0.064,Gradient boosting,unweighted,0.11209139400196311,0.5499055000000226,0.08069279999835999,,492,0.036585365853658534
5,Logistic [balanced],uncalibrated,selection validation,0.0,0.8683226495726496,0.2023321892897283,0.064,1.0,0.12030075187969924,0.5133735350718812,1.4713747861171755,0.7240743981070086,0.064,0.6600743981070085,0.6600743981070085,1.6331199673524728e-122,1.0,0.064,Logistic,balanced,0.12149817597594814,0.015976900001987815,0.007037899998977082,11.0,492,0.036585365853658534
5,Logistic [balanced] [sigmoid],sigmoid,calibration,0.011172700000315672,0.13167735042735043,0.03857833974396844,0.06722689075630252,1.0,0.12598425196850394,0.0609353541465777,0.24948806788000524,0.04532841503686053,0.064,-0.01867158496313947,0.01867158496313947,0.036566279159802574,0.952,0.064,Logistic,balanced,0.12149817597594814,0.015976900001987815,0.007037899998977082,11.0,492,0.036585365853658534
5,Logistic [unweighted],uncalibrated,selection validation,0.0,0.8768696581196581,0.21973205676002602,0.064,1.0,0.12030075187969924,0.08873880005466663,0.314402890918524,0.23846718484443272,0.064,0.17446718484443272,0.17446718484443272,4.58958668253429e-124,1.0,0.064,Logistic,unweighted,0.12240572036153556,0.012812700002541533,0.00839300000006915,11.0,492,0.036585365853658534
5,Logistic [unweighted] [sigmoid],sigmoid,calibration,0.02099140000063926,0.12313034188034187,0.03807879148702578,0.06584362139917696,1.0,0.12355212355212356,0.06070451998945911,0.2472456143403154,0.03858171269463751,0.064,-0.02541828730536249,0.02541828730536249,0.0367619765460039,0.972,0.064,Logistic,unweighted,0.12240572036153556,0.012812700002541533,0.00839300000006915,11.0,492,0.036585365853658534
5,Logistic oriented [balanced],uncalibrated,selection validation,0.0,0.8683226495726496,0.2023321892897283,0.064,1.0,0.12030075187969924,0.5133735350718812,1.4713747861171755,0.7240743981070086,0.064,0.6600743981070085,0.6600743981070085,1.6331199673524728e-122,1.0,0.064,Logistic oriented,balanced,0.12149817597594814,0.0531632999991416,0.009260599999834085,11.0,492,0.036585365853658534
5,Logistic oriented [balanced] [sigmoid],sigmoid,calibration,0.013036699998338008,0.13167735042735043,0.03857833974396844,0.06722689075630252,1.0,0.12598425196850394,0.0609353541465777,0.24948806788000524,0.04532841503686053,0.064,-0.01867158496313947,0.01867158496313947,0.036566279159802574,0.952,0.064,Logistic oriented,balanced,0.12149817597594814,0.0531632999991416,0.009260599999834085,11.0,492,0.036585365853658534
5,Logistic oriented [unweighted],uncalibrated,selection validation,0.0,0.8768696581196581,0.21973205676002602,0.064,1.0,0.12030075187969924,0.08873880005466663,0.314402890918524,0.23846718484443272,0.064,0.17446718484443272,0.17446718484443272,4.58958668253429e-124,1.0,0.064,Logistic oriented,unweighted,0.12240572036153556,0.018554199999925913,0.014187800003128359,11.0,492,0.036585365853658534
