asset,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,Correlation,R2
JPM,Choquet 2-additive scaled-q L1,rolling_5y,0.00014767735756141993,0.012152257303127675,0.00876606069925438,0.010991531914731427,0.6047648292790436,0.3657404987329086
JPM,Elastic net,rolling_5y,5.28530918151569e-05,0.0072700131922271575,0.004967667754113901,0.005896346298528029,0.8792115975788675,0.7730012494219842
JPM,Lasso,rolling_5y,5.283006419914902e-05,0.007268429280054186,0.004972787783617014,0.005896420069653925,0.8792621863243885,0.7731001507328265
JPM,Monotone linear,rolling_5y,5.865310703524426e-05,0.007658531650077857,0.005233419555899574,0.00620954867962654,0.8649224030717559,0.7480907633354212
JPM,OLS,rolling_5y,5.2825891641964184e-05,0.007268142241450988,0.004976458793083276,0.005896920949394736,0.8792713298232782,0.773118071449196
JPM,OLS oriented,rolling_5y,5.2825891641964184e-05,0.007268142241450988,0.004976458793083276,0.005896920949394736,0.8792713298232782,0.773118071449196
JPM,Ridge,rolling_5y,5.2985618876988856e-05,0.007279122122686833,0.004958939052970409,0.005901581802611575,0.8789531549124414,0.7724320589277207
KO,Choquet 1-additive,rolling_5y,3.7275770188036447e-05,0.006105388618919884,0.0045000824794226455,0.005115116056449246,0.7941893749370322,0.6301380552217688
KO,Choquet 1-additive scaled-q,rolling_5y,9.286395080284212e-05,0.00963659435707668,0.0070777371300911945,0.00927730349739263,0.2803116128959875,0.07857460032434982
KO,Choquet 2-additive,rolling_5y,3.748530956446059e-05,0.006122524770424419,0.0044844457199652655,0.005155466043318355,0.7925744135794762,0.6280589394615606
KO,Choquet 2-additive L1,rolling_5y,3.739156781636122e-05,0.006114864496974665,0.004492340780429399,0.005162998190575599,0.7931033889448771,0.62898907464278
KO,Choquet 2-additive scaled-q,rolling_5y,9.286395080284212e-05,0.00963659435707668,0.0070777371300911945,0.00927730349739263,0.28031161289598744,0.07857460032434982
KO,Choquet 2-additive scaled-q L1,rolling_5y,9.286395080284212e-05,0.00963659435707668,0.0070777371300911945,0.00927730349739263,0.28031161289598744,0.07857460032434982
KO,Elastic net,rolling_5y,3.608329968589927e-05,0.006006937629599567,0.004396908538476316,0.005035727869770481,0.8012552060411153,0.6419701235274342
KO,Lasso,rolling_5y,3.604681379259398e-05,0.006003899881959557,0.004392930341975564,0.0050217876984618584,0.8014573575764229,0.6423321480647353
KO,Monotone linear,rolling_5y,3.7139165378954886e-05,0.006094191117691903,0.004470085212413611,0.005135616628862926,0.7946656474321053,0.6314934912086873
KO,OLS,rolling_5y,3.604531162828067e-05,0.0060037747816087065,0.004392589926163365,0.005018976261137634,0.8014655657061511,0.6423470530126811
KO,OLS oriented,rolling_5y,3.604531162828067e-05,0.0060037747816087065,0.004392589926163365,0.005018976261137634,0.8014655657061511,0.6423470530126811
KO,Ridge,rolling_5y,3.6052149022370534e-05,0.006004344179206463,0.004390021396755838,0.005030555263910336,0.8014432918474906,0.6422792102327055
MSFT,Choquet 1-additive,rolling_5y,8.067140097888797e-05,0.008981725946547689,0.006164429161130923,0.007490588047228269,0.8379441128432843,0.6913900014444003
MSFT,Choquet 1-additive scaled-q,rolling_5y,0.00011303128725245215,0.010631617339448037,0.008009374808643046,0.00958426093216028,0.7533900935778016,0.5675966331011687
MSFT,Choquet 2-additive,rolling_5y,8.115935896931323e-05,0.009008848925879113,0.006183771060632174,0.007519167434330643,0.8380937245535548,0.689523308751661
MSFT,Choquet 2-additive L1,rolling_5y,8.142831872230835e-05,0.009023764110519975,0.0062053474968607625,0.007482073837175993,0.8335440950784396,0.6884943980351474
MSFT,Choquet 2-additive scaled-q,rolling_5y,0.00011303128725245215,0.010631617339448037,0.008009374808643046,0.009584260932160278,0.7533900935778016,0.5675966331011687
