model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
MLP [unweighted] [sigmoid],MLP,unweighted,sigmoid,rolling_5y,0.05274690700039051,0.219001983796371,0.0561051534978497,0.05511811023622047,0.0009870432616292252,0.0009870432616292252
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.19952685963320907,0.5734975024726211,0.28170809678504294,0.05511811023622047,0.22658998654882245,0.22658998654882245
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.13199428018208648,0.430738812378537,0.18231328391032964,0.05511811023622047,0.12719517367410915,0.12719517367410915
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.21841106157384105,0.6271598999502839,0.3087318908610167,0.05511811023622047,0.2536137806247962,0.2536137806247962
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.21841106157384105,0.6271598999502839,0.3087318908610167,0.05511811023622047,0.2536137806247962,0.2536137806247962
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.05272318812129018,0.2177233177477546,0.05752494852747529,0.05511811023622047,0.0024068382912548203,0.0024068382912548203
Fuzzy Choquet neural network [unweighted],Fuzzy Choquet neural network,unweighted,uncalibrated,rolling_5y,0.05220318986999967,0.2139275293409729,0.05950680277837429,0.05511811023622047,0.004388692542153821,0.004388692542153821
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.32781882455177186,0.8898839096194111,0.5145224238797983,0.05511811023622047,0.4594043136435778,0.4594043136435778
Explicit interactions [unweighted],Explicit interactions,unweighted,uncalibrated,rolling_5y,0.15391805845015388,0.707694387714376,0.19331866982195547,0.05511811023622047,0.13820055958573502,0.13820055958573502
Explicit interactions [balanced],Explicit interactions,balanced,uncalibrated,rolling_5y,0.5260446507135053,2.5559961703587812,0.6187417993340952,0.05511811023622047,0.5636236890978747,0.5636236890978747
RBF SVM [unweighted],RBF SVM,unweighted,uncalibrated,rolling_5y,0.05691002379007996,0.23778852474431456,0.08786807317548395,0.05511811023622047,0.03274996293926348,0.03274996293926348
MLP [balanced],MLP,balanced,uncalibrated,rolling_5y,0.39584344853792314,1.9151149149052256,0.5752301558062937,0.05511811023622047,0.5201120455700732,0.5201120455700732
MLP [unweighted],MLP,unweighted,uncalibrated,rolling_5y,0.296026247306392,5.613865664926982,0.37362156223628573,0.05511811023622047,0.31850345200006525,0.31850345200006525
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,rolling_5y,0.05249643419923805,0.21693710898663873,0.05876454949462895,0.05511811023622047,0.0036464392584084765,0.0036464392584084765
