fold,model,OOS start,OOS end,best parameters
5,Historical mean,2025-01-01,2026-01-01,{}
5,Lasso,2025-01-01,2026-01-01,{'regressor__alpha': 0.01}
5,MLP,2025-01-01,2026-01-01,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32, 16)}"
5,Monotone linear,2025-01-01,2026-01-01,{}
5,OLS,2025-01-01,2026-01-01,{}
5,OLS oriented,2025-01-01,2026-01-01,{}
5,Random forest,2025-01-01,2026-01-01,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 5}"
5,Ridge,2025-01-01,2026-01-01,{'regressor__alpha': 10.0}
6,Choquet 1-additive,2026-01-01,2027-01-01,{}
6,Choquet 2-additive,2026-01-01,2027-01-01,{}
6,Choquet 2-additive L1,2026-01-01,2027-01-01,"{'regressor__regressor__penalty': L1Penalty(weight=0.01, selection=[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54])}"
6,Elastic net,2026-01-01,2027-01-01,"{'regressor__alpha': 0.001, 'regressor__l1_ratio': 0.75}"
6,Explicit interactions,2026-01-01,2027-01-01,{'regressor__ridge__alpha': 10.0}
6,Gradient boosting,2026-01-01,2027-01-01,"{'regressor__l2_regularization': 1.0, 'regressor__learning_rate': 0.03, 'regressor__max_leaf_nodes': 7}"
6,Historical mean,2026-01-01,2027-01-01,{}
6,Lasso,2026-01-01,2027-01-01,{'regressor__alpha': 0.001}
6,MLP,2026-01-01,2027-01-01,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (32,)}"
6,Monotone linear,2026-01-01,2027-01-01,{}
6,OLS,2026-01-01,2027-01-01,{}
6,OLS oriented,2026-01-01,2027-01-01,{}
6,Random forest,2026-01-01,2027-01-01,"{'regressor__max_depth': 3, 'regressor__min_samples_leaf': 5}"
6,Ridge,2026-01-01,2027-01-01,{'regressor__alpha': 10.0}
