asset,model,feature,Shapley importance
KO,Choquet 2-additive,sector_excess_return,0.6559056458336138
KO,Choquet 2-additive,size_spread,0.08025340218026493
KO,Choquet 2-additive,value_growth_spread,1.7144563674162392e-18
KO,Choquet 2-additive L1,low_volatility_spread,0.0003725713262459659
KO,Choquet 2-additive L1,market_excess_return,0.06412270055103217
KO,Choquet 2-additive L1,momentum_spread,0.05641881767741602
KO,Choquet 2-additive L1,quality_spread,0.019139415213787384
KO,Choquet 2-additive L1,sector_excess_return,0.7733004509797572
KO,Choquet 2-additive L1,size_spread,0.0862443273101761
KO,Choquet 2-additive L1,value_growth_spread,0.00040171694158550156
KO,Choquet 2-additive scaled-q,low_volatility_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q,market_excess_return,0.14285714285714277
KO,Choquet 2-additive scaled-q,momentum_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q,quality_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q,sector_excess_return,0.14285714285714277
KO,Choquet 2-additive scaled-q,size_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q,value_growth_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q L1,low_volatility_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q L1,market_excess_return,0.14285714285714277
KO,Choquet 2-additive scaled-q L1,momentum_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q L1,quality_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q L1,sector_excess_return,0.14285714285714277
KO,Choquet 2-additive scaled-q L1,size_spread,0.14285714285714277
KO,Choquet 2-additive scaled-q L1,value_growth_spread,0.14285714285714277
MSFT,Choquet 1-additive,low_volatility_spread,5.6022597791790426e-18
MSFT,Choquet 1-additive,market_excess_return,0.32011095363076697
MSFT,Choquet 1-additive,momentum_spread,0.03564117770108523
MSFT,Choquet 1-additive,quality_spread,2.5689783261982425e-18
MSFT,Choquet 1-additive,sector_excess_return,0.42101452192338484
MSFT,Choquet 1-additive,size_spread,0.0477013169637325
MSFT,Choquet 1-additive,value_growth_spread,0.17553202978103025
MSFT,Choquet 1-additive scaled-q,low_volatility_spread,0.14285714285714277
MSFT,Choquet 1-additive scaled-q,market_excess_return,0.14285714285714277
MSFT,Choquet 1-additive scaled-q,momentum_spread,0.14285714285714277
MSFT,Choquet 1-additive scaled-q,quality_spread,0.14285714285714277
MSFT,Choquet 1-additive scaled-q,sector_excess_return,0.14285714285714277
MSFT,Choquet 1-additive scaled-q,size_spread,0.14285714285714277
MSFT,Choquet 1-additive scaled-q,value_growth_spread,0.14285714285714277
MSFT,Choquet 2-additive,low_volatility_spread,0.0510714667100226
MSFT,Choquet 2-additive,market_excess_return,0.28933731870625273
MSFT,Choquet 2-additive,momentum_spread,0.0471156648716484
MSFT,Choquet 2-additive,quality_spread,1.2981627022707052e-17
MSFT,Choquet 2-additive,sector_excess_return,0.38752523070280714
