model,base model,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds
Choquistic 2-additive [isotonic],Choquistic 2-additive,isotonic,calibration,0.549124309918142,0.07769398012270508,0.099609375,0.5,0.16612377850162866,0.05886687376279856,0.2907980122176095,0.0482656774392188,0.061930783242258654,-0.013665105803039854,0.013665105803039854,0.11330073109223555,0.3108682452944748,0.061930783242258654,0.0585908966968399,6.989234500000293,8.097441200000048,0.08944830000018555,57.0,3486,0.06170047082785425,7
RBF SVM,RBF SVM,uncalibrated,selection validation,0.5633225458468177,0.07567297401885166,0.05869720830350752,0.803921568627451,0.1094062708472315,0.07608646424574,0.2866240118338644,0.15033287423987846,0.061930783242258654,0.08840209099761981,0.08840209099761981,0.05973092743360539,0.8482088646023073,0.061930783242258654,0.07688972989032052,0.7468381999997291,0.3587751999998545,0.0,,3486,0.06170047082785425,7
Penalized logistic [isotonic],Penalized logistic,isotonic,calibration,0.5419823592867568,0.07558068025934198,0.06335282651072124,0.6372549019607843,0.11524822695035461,0.09503470501179691,1.134260262480726,0.13361998839671924,0.061930783242258654,0.07168920515446059,0.07168920515446059,0.11587062680905523,0.6229508196721312,0.061930783242258654,0.10778376770048467,0.21831010000005335,0.04833540000004177,0.0674466999996639,11.0,3486,0.06170047082785425,7
Gradient boosting,Gradient boosting,uncalibrated,selection validation,0.4565867123548449,0.07465634400314321,0.05205205205205205,0.5098039215686274,0.09445958219800181,0.07499388670771785,0.3402234120704343,0.08081532086081329,0.061930783242258654,0.018884537618554638,0.018884537618554638,0.033320398954169,0.6065573770491803,0.061930783242258654,0.06861181847389217,4.6952825999997,0.5230292000003374,0.0,,3486,0.06170047082785425,7
Choquistic 2-additive [sigmoid],Choquistic 2-additive,sigmoid,calibration,0.5619233453899359,0.07251673920520715,0.099609375,0.5,0.16612377850162866,0.05838500917315808,0.2349133062480522,0.05017997284694202,0.061930783242258654,-0.011750810395316634,0.011750810395316634,0.07017497463589706,0.3108682452944748,0.061930783242258654,0.0585908966968399,6.989234500000293,8.097441200000048,0.09751189999997223,57.0,3486,0.06170047082785425,7
Random forest [sigmoid],Random forest,sigmoid,calibration,0.573323180404848,0.07017847042171169,0.10344827586206896,0.5882352941176471,0.17595307917888564,0.05822086523139091,0.23155526921113226,0.06132163433650109,0.061930783242258654,-0.000609148905757563,0.000609148905757563,0.07215732162816464,0.3521554341226472,0.061930783242258654,0.0627412430907904,22.212353899999698,3.881929200000286,1.0509948999999779,,3486,0.06170047082785425,7
MLP [isotonic],MLP,isotonic,calibration,0.49395266197093723,0.07013667878560517,0.07342657342657342,0.20588235294117646,0.10824742268041238,0.05924653186925735,0.37025297286564884,0.05052430381967295,0.061930783242258654,-0.011406479422585707,0.011406479422585707,0.11794235251481094,0.17364905889496055,0.061930783242258654,0.08506171162040287,0.6200437000002239,0.17622849999997925,0.06905140000026222,,3486,0.06170047082785425,7
Explicit interactions,Explicit interactions,uncalibrated,selection validation,0.5446697125452122,0.06884444585865096,0.056082830025884385,0.6372549019607843,0.10309278350515463,0.2768084778696488,1.127503804602964,0.40833845853389444,0.061930783242258654,0.3464076752916358,0.3464076752916358,0.23371169515278944,0.7037037037037037,0.061930783242258654,0.07602372986128476,0.26244370000017625,0.11330810000004021,0.0,56.0,3486,0.06170047082785425,7
Logistic oriented [isotonic],Logistic oriented,isotonic,calibration,0.5116822133384098,0.06843340122946376,0.06539235412474849,0.6372549019607843,0.11861313868613138,0.0926490347101668,1.1426464991982364,0.1315732812346425,0.061930783242258654,0.06964249799238384,0.06964249799238384,0.1218383003836661,0.6035215543412265,0.061930783242258654,0.09098603490887548,0.08391609999989669,0.05608140000003914,0.07995039999991604,11.0,3486,0.06170047082785425,7
Logistic [isotonic],Logistic,isotonic,calibration,0.5116822133384098,0.06843340122946376,0.06539235412474849,0.6372549019607843,0.11861313868613138,0.0926490347101668,1.1426464991982364,0.1315732812346425,0.061930783242258654,0.06964249799238384,0.06964249799238384,0.1218383003836661,0.6035215543412265,0.061930783242258654,0.09098603490887548,0.06872500000031323,0.05013369999983297,0.06778629999962504,11.0,3486,0.06170047082785425,7
Penalized logistic,Penalized logistic,uncalibrated,selection validation,0.5310108509423187,0.06833259440327125,0.07312252964426877,0.7254901960784313,0.13285457809694792,0.49874552940556716,1.8270516304107653,0.6727469543152997,0.061930783242258654,0.6108161710730411,0.6108161710730411,0.49975632580633156,0.6144505160898603,0.061930783242258654,0.10778376770048467,0.21831010000005335,0.04833540000004177,0.0,11.0,3486,0.06170047082785425,7
Gradient boosting [isotonic],Gradient boosting,isotonic,calibration,0.5167237768893965,0.06146298800639054,0.06681766704416761,0.5784313725490197,0.11979695431472082,0.05991585784889901,0.28356000547241017,0.069985564513375,0.061930783242258654,0.008054781271116342,0.008054781271116342,0.08128260178979745,0.5361262902246509,0.061930783242258654,0.06861181847389217,4.6952825999997,0.5230292000003374,0.12889309999991383,,3486,0.06170047082785425,7
Prior probability,Prior probability,uncalibrated,selection validation,0.4413382828859699,0.061457803621915386,0.061930783242258654,1.0,0.11663807890222985,0.05865025629009845,0.23788778669354294,0.05920318826767988,0.061930783242258654,-0.0027275949745787717,0.0027275949745787717,0.009999999999999998,1.0,0.061930783242258654,0.05661425156833951,0.033590800000411036,0.020291700000143464,0.0,,3486,0.06170047082785425,7
Choquistic 1-additive [sigmoid],Choquistic 1-additive,sigmoid,calibration,0.49388286058760067,0.06112851629050594,0.10590631364562118,0.5098039215686274,0.17537942664418213,0.05849897896597457,0.23566287255935994,0.05615874821537054,0.061930783242258654,-0.0057720350268881115,0.0057720350268881115,0.06889023517601167,0.29811778992106863,0.061930783242258654,0.076484875655589,2.0069255999999314,1.8664315999999417,0.0882110999998531,12.0,3486,0.06170047082785425,7
Logistic,Logistic,uncalibrated,selection validation,0.48461196776445203,0.06089096488815967,0.07065750736015702,0.7058823529411765,0.12845673505798394,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435,0.46041782840380385,0.6187006678809958,0.061930783242258654,0.09098603490887548,0.06872500000031323,0.05013369999983297,0.0,11.0,3486,0.06170047082785425,7
Logistic oriented,Logistic oriented,uncalibrated,selection validation,0.48461196776445203,0.06089096488815967,0.07065750736015702,0.7058823529411765,0.12845673505798394,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435,0.46041782840380385,0.6187006678809958,0.061930783242258654,0.09098603490887548,0.08391609999989669,0.05608140000003914,0.0,11.0,3486,0.06170047082785425,7
Explicit interactions [sigmoid],Explicit interactions,sigmoid,calibration,0.47970683418998666,0.05920571037573729,0.05837173579109063,0.37254901960784315,0.10092961487383798,0.058780402724918225,0.23813776146434348,0.05980033635982712,0.061930783242258654,-0.0021304468824315317,0.0021304468824315317,0.05927144840400558,0.39526411657559196,0.061930783242258654,0.07602372986128476,0.26244370000017625,0.11330810000004021,0.08077210000010382,56.0,3486,0.06170047082785425,7
RBF SVM [sigmoid],RBF SVM,sigmoid,calibration,0.505374706516911,0.057593660459744275,0.07450331125827815,0.4411764705882353,0.1274787535410765,0.058977952913239734,0.24174136121024575,0.05303323395947479,0.061930783242258654,-0.008897549282783863,0.008897549282783863,0.06813189863510985,0.36672738312082576,0.061930783242258654,0.07688972989032052,0.7468381999997291,0.3587751999998545,0.15645060000065314,,3486,0.06170047082785425,7
Explicit interactions [isotonic],Explicit interactions,isotonic,calibration,0.48765467351989344,0.05738568048413768,0.055793991416309016,0.38235294117647056,0.09737827715355805,0.05936376758100678,0.3814469289598809,0.054073851446059584,0.061930783242258654,-0.00785693179619907,0.00785693179619907,0.05311342044349125,0.424408014571949,0.061930783242258654,0.07602372986128476,0.26244370000017625,0.11330810000004021,0.07973830000037196,56.0,3486,0.06170047082785425,7
Prior probability [sigmoid],Prior probability,sigmoid,calibration,0.4303921568627451,0.05452702515688125,0.061930783242258654,1.0,0.11663807890222985,0.05894260778755357,0.23939495404104613,0.06069359809042395,0.061930783242258654,-0.0012371851518347063,0.0012371851518347063,0.009999999999999998,1.0,0.061930783242258654,0.05661425156833951,0.033590800000411036,0.020291700000143464,0.06775000000016007,,3486,0.06170047082785425,7
Prior probability [isotonic],Prior probability,isotonic,calibration,0.4303921568627451,0.05452702515688125,0.061930783242258654,1.0,0.11663807890222985,0.058945094243855946,0.23943589071445615,0.0605668384807842,0.061930783242258654,-0.0013639447614744518,0.0013639447614744518,0.009999999999999998,1.0,0.061930783242258654,0.05661425156833951,0.033590800000411036,0.020291700000143464,0.06270909999966534,,3486,0.06170047082785425,7
MLP [sigmoid],MLP,sigmoid,calibration,0.43113776254838504,0.053856868033073366,0.060041407867494824,0.28431372549019607,0.09914529914529914,0.059793691236564694,0.24216257579819844,0.0671158687300062,0.061930783242258654,0.00518508548774755,0.00518508548774755,0.06409495405610367,0.29326047358834245,0.061930783242258654,0.08506171162040287,0.6200437000002239,0.17622849999997925,0.07754599999975653,,3486,0.06170047082785425,7
Gradient boosting [sigmoid],Gradient boosting,sigmoid,calibration,0.43672504600545725,0.050919158167529864,0.07862903225806452,0.38235294117647056,0.13043478260869565,0.05940981063785488,0.242775772942248,0.06346801916798266,0.061930783242258654,0.0015372359257240023,0.0015372359257240023,0.06699642208490637,0.30115361262902246,0.061930783242258654,0.06861181847389217,4.6952825999997,0.5230292000003374,0.13140430000044034,,3486,0.06170047082785425,7
