asset,model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
NVDA,Choquet 1-additive,0.002478730890370221,0.04978685459406148,0.03858966344686815,0.04167125902963258,-1.3300767849682842,0.6665417796700895,0.029481917132318278,0.020146300001215423,0.01159919999918202,8
NVDA,Monotone linear,0.0003919459265617677,0.019797624265597315,0.013861085766812711,0.015292903290073228,0.6315598002217762,0.7954148763952352,0.018148222414485743,0.006551300000865012,0.004233700001350371,8
NVDA,OLS,0.00046161463649251863,0.021485219023610596,0.015311958688033858,0.016753440110806324,0.5660692525068178,0.7526998226100619,0.01744234796006681,0.004644900000130292,0.003029600000445498,8
NVDA,OLS oriented,0.00046161463649251863,0.021485219023610596,0.015311958688033858,0.016753440110806324,0.5660692525068178,0.7526998226100619,0.01744234796006681,0.006466500000897213,0.0050164000003860565,8
UNH,Choquet 1-additive,0.00043014536854685335,0.020739946204049165,0.013510677435874464,0.016985811276098942,0.1058612346731882,0.3995377614562866,0.013782582957845223,0.06909300000006624,0.01602180000008957,8
UNH,Monotone linear,0.00034587585137596776,0.01859773780264599,0.010944864517382602,0.0148187279953753,0.2810314156108794,0.5434271983209557,0.013050872423773134,0.006311799999821233,0.0046130999999149935,8
UNH,OLS,0.0003426252773899281,0.0185101398533325,0.010902530273962695,0.014732643668692423,0.28778835041247863,0.5459542343932606,0.013151814535526442,0.004937800000334391,0.003185599998687394,8
UNH,OLS oriented,0.0003426252773899281,0.0185101398533325,0.010902530273962695,0.014732643668692423,0.28778835041247863,0.5459542343932606,0.013151814535526442,0.006221899999218294,0.004032200000438024,8
WMT,Choquet 1-additive,0.0005095986751532458,0.022574292351106952,0.01699657273349907,0.018742508909324686,-1.3624832278621595,0.2965053048111014,0.010674659055330823,0.016300900000715046,0.014604300000428339,8
WMT,Monotone linear,0.00014357856288664466,0.011982427253551121,0.007742588199245805,0.009798928711405589,0.3343743552742833,0.5794323382948195,0.007394691937082576,0.006038600000465522,0.004504099999394384,8
WMT,OLS,0.0001457180942386389,0.012071374993704689,0.007815928370981681,0.00985562338875785,0.3244555560681204,0.570277108029999,0.007396018949068412,0.00475679999908607,0.0034488000001147157,8
WMT,OLS oriented,0.0001457180942386389,0.012071374993704689,0.007815928370981681,0.00985562338875785,0.3244555560681204,0.570277108029999,0.007396018949068412,0.006221100000402657,0.004616299998815521,8
XOM,Choquet 1-additive,0.0001478295882998166,0.012158519165581663,0.008495027841142012,0.010391772225031272,0.6482100847558332,0.8177643582833486,0.005626604756223724,0.02243850000013481,0.019312700000227778,8
XOM,Monotone linear,0.00011997673357044182,0.010953389136264712,0.007121129043022446,0.009208082145190909,0.7144914937568687,0.8898623302371382,0.005432660755668465,0.0060481000000436325,0.006417599999622325,8
XOM,OLS,0.00011180724814984568,0.01057389465380877,0.00685781201327122,0.008752416950484208,0.7339324095894373,0.8925561044616889,0.005440208232485723,0.005392200000642333,0.003409299999475479,8
XOM,OLS oriented,0.00011180724814984568,0.01057389465380877,0.00685781201327122,0.008752416950484208,0.7339324095894373,0.8925561044616889,0.005440208232485723,0.005948099998931866,0.00396069999987958,8
