asset,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
WMT,Choquet 1-additive scaled-q,rolling_5y,0.0002054468078906057,0.014333415778892543,0.009776709884994033,0.012778163192725032,0.04790253665873501,0.2534273341450794,0.012938133932488147,0.05356889998074621,0.03844259993638843,9,7
WMT,Choquet 2-additive,rolling_5y,0.00015560903077669794,0.012474334883138979,0.008471578052535646,0.01052067734072423,0.27886461222422576,0.552266617903878,0.011508918123537512,0.310767300077714,0.3232715999474749,29,7
WMT,Choquet 2-additive L1,rolling_5y,0.00015524019007863402,0.012459542129574185,0.00847507404018576,0.010552377928930214,0.28057392227196654,0.5518016793429038,0.011450745703029178,1.4372154000448063,0.4195174999185838,29,7
WMT,Choquet 2-additive scaled-q,rolling_5y,0.0002054468078906057,0.014333415778892543,0.009776709884994031,0.01277816319272503,0.04790253665873501,0.2534273341450794,0.012938133932488147,0.0656943999347277,0.045662200020160526,30,7
WMT,Choquet 2-additive scaled-q L1,rolling_5y,0.00020544680792065713,0.014333415779940841,0.009776709894625717,0.01277816315888399,0.04790253651946841,0.25342733379952787,0.012938133920393611,0.27853299997514114,0.05040819995338097,30,7
WMT,Elastic net,rolling_5y,0.00012867895541565302,0.011343674687492278,0.0075207025224976135,0.009585316409633362,0.40366604721411636,0.6365669501337475,0.010422136543640825,0.23569840006530285,0.01574070000788197,8,7
WMT,Lasso,rolling_5y,0.0001284150159002191,0.011332034940831197,0.007531020589418808,0.009608280773647098,0.4048892161000207,0.638721993558048,0.01042675623799914,0.10399420000612736,0.016142999986186624,8,7
WMT,Monotone linear,rolling_5y,0.00013616042772289378,0.011668780044327419,0.007617008742684869,0.009715997303141339,0.36899483046990356,0.6089285239299527,0.010777650972674654,0.037265999941155314,0.021459000010509044,8,7
WMT,OLS,rolling_5y,0.0001323806932457478,0.01150568091186905,0.007681788244228276,0.00959736515528813,0.3865111678846488,0.6233461504105813,0.010610689623952058,0.025143600010778755,0.01569459994789213,8,7
WMT,OLS oriented,rolling_5y,0.0001323806932457478,0.01150568091186905,0.007681788244228276,0.00959736515528813,0.3865111678846488,0.6233461504105813,0.010610689623952058,0.03495569998631254,0.02006090001668781,8,7
WMT,Ridge,rolling_5y,0.00013242706827336064,0.01150769604540199,0.007664841231221961,0.009598882010114922,0.38629625315024185,0.6227612215529965,0.01058728263741028,0.10242539993487298,0.01510469993809238,8,7
XOM,Choquet 1-additive,rolling_5y,9.666928663172535e-05,0.009832054039300504,0.0065728972484590175,0.00837535427502112,0.7699296159616318,0.9183838989440701,0.008631850968214375,0.14620339986868203,0.12853460002224892,8,7
XOM,Choquet 1-additive scaled-q,rolling_5y,0.00036590069916541583,0.01912853102476549,0.014010915111768342,0.017609434164492944,0.12916586735970437,0.3886262689658006,0.016329192875326644,0.05475979996845126,0.04024240007856861,9,7
XOM,Choquet 2-additive,rolling_5y,0.00010618224479983194,0.010304476929948066,0.0069585371950903465,0.009172569695174423,0.7472890233252635,0.908614761748232,0.009075099791580511,0.3130311000277288,0.33437499997671694,29,7
XOM,Choquet 2-additive L1,rolling_5y,0.00010440179056508531,0.01021771944051535,0.006888509159557708,0.008910366638226355,0.7515264580247811,0.9114167384214149,0.008700471916849759,1.7311036000028253,0.5937217999016866,29,7
XOM,Choquet 2-additive scaled-q,rolling_5y,0.00027968867992958935,0.016723895477118642,0.011623392314380457,0.014908656924859707,0.3343482273979371,0.5801576749783122,0.013672405156116545,0.11480409995419905,0.09416780003812164,30,7
XOM,Choquet 2-additive scaled-q L1,rolling_5y,0.0003056939348597035,0.017484105206149483,0.012294883114087952,0.01577902933971903,0.2724563980770047,0.521382215644008,0.01422174334831498,0.3542943000793457,0.09248549997573718,30,7
XOM,Elastic net,rolling_5y,5.8627117617981665e-05,0.007656834699664194,0.005470225471425453,0.006457259331122742,0.8604689872511695,0.9318017287332409,0.006953102280334183,0.23795450007310137,0.015926599968224764,8,7
XOM,Lasso,rolling_5y,5.904263911876837e-05,0.007683920816794533,0.0054920207664688045,0.006489864748968135,0.8594800569032462,0.9315849475885518,0.006954574251700945,0.10338060004869476,0.01595979992998764,8,7
XOM,Monotone linear,rolling_5y,8.228239627374302e-05,0.009070964462158531,0.005785905281873178,0.007194214433372031,0.8041700402484973,0.9136046805247188,0.007915164050739084,0.03686649998417124,0.02218870003707707,8,7
XOM,OLS,rolling_5y,5.8129550365506334e-05,0.007624273759874204,0.005440109917461797,0.006384711703507405,0.8616531843508959,0.9312100009914276,0.0070247665791584165,0.02597160014556721,0.01606490003177896,8,7
XOM,OLS oriented,rolling_5y,5.8129550365506334e-05,0.007624273759874204,0.005440109917461797,0.006384711703507405,0.8616531843508959,0.9312100009914276,0.0070247665791584165,0.035307500103954226,0.02110670000547543,8,7
XOM,Ridge,rolling_5y,5.813199823612183e-05,0.0076244342895799054,0.005438364478157165,0.0063864851046878555,0.8616473584825958,0.9312990525263448,0.007023264952796905,0.10582529997918755,0.016202000027988106,8,7
