first,second,mean,std,min,max,count,sign persistence,mean absolute interaction
average_equity_correlation_60d,negative_momentum_21d,3.431365576266575e-15,4.436346051027331e-15,9.070001604395392e-17,1.0476545676139328e-14,5,1.0,3.431365576266575e-15
realized_volatility_20d,drawdown_severity,-2.9164276997975826e-15,3.195540268816432e-15,-7.70351109433244e-15,-5.236561481454288e-17,5,1.0,2.9164276997975826e-15
market_loss_1d,vix,-4.0409533899280005e-16,4.114145423843862e-15,-5.025149111636745e-15,6.1739790897460944e-15,5,0.8,2.873686974891238e-15
market_loss_1d,liquidity_stress_20d,1.0892947104140204e-15,4.318849136778549e-15,-3.4694135917876746e-15,8.156359473742524e-15,5,0.6,2.8037539193814367e-15
vix,negative_momentum_21d,-2.0583287484955214e-15,3.275592744204e-15,-7.12448753982591e-15,8.472068087266082e-16,5,0.6,2.7046594092034384e-15
market_loss_1d,baa_credit_spread_pct,2.011683959601665e-15,3.864283321843698e-15,-9.5720544274085e-16,8.362473108357557e-15,5,0.6,2.5626558545276905e-15
liquidity_stress_20d,lagged_portfolio_loss_1d,7.587638717155429e-16,2.7380796500292835e-15,-2.043305447837582e-15,3.637283759342618e-15,5,0.6,2.330188153359949e-15
liquidity_stress_20d,term_spread_10y_2y_pct,-3.831322271005931e-16,3.2912176214164695e-15,-5.847595639763582e-15,2.977148638503634e-15,5,0.6,2.0912257224045784e-15
term_spread_10y_2y_pct,average_equity_correlation_60d,-1.953412720723404e-15,2.3217886312328362e-15,-5.126018654750542e-15,3.190206341386111e-16,5,0.8,2.081020974378849e-15
liquidity_stress_20d,average_equity_correlation_60d,2.004960252713158e-15,1.5949466480630444e-15,-1.3527092336978153e-16,3.933069007517804e-15,5,0.8,2.0590686220610703e-15
market_loss_1d,term_spread_10y_2y_pct,-1.3825617498514153e-15,2.8052487976258906e-15,-6.130038356803728e-15,8.32289881279392e-16,5,0.6,1.9407603064921793e-15
baa_credit_spread_pct,lagged_portfolio_loss_1d,1.5279520368022308e-15,2.2948860844574436e-15,-6.941887568186961e-16,4.874367699777664e-15,5,0.6,1.8532489787296966e-15
vix,drawdown_severity,-1.5907638935082849e-15,2.527298073348721e-15,-5.962072013261948e-15,6.0195218330191e-16,5,0.8,1.8315447668290487e-15
drawdown_severity,liquidity_stress_20d,-1.4265874604321655e-15,1.2154641651042214e-15,-2.58854983218053e-15,5.058033167182708e-16,5,0.8,1.6289087871194733e-15
drawdown_severity,lagged_portfolio_loss_1d,4.868010927001213e-16,1.8619471145990436e-15,-2.1249505538835313e-15,2.418809020784198e-15,5,0.6,1.5517658072122467e-15
vix,average_equity_correlation_60d,8.100639722749276e-16,1.7590161238335913e-15,-1.7428122552382975e-15,2.9480733899129204e-15,5,0.8,1.5071888743702468e-15
vix,lagged_portfolio_loss_1d,7.697958981363991e-17,2.0595918139365288e-15,-1.808222528889551e-15,3.2035419751899203e-15,5,0.6,1.506073219898829e-15
market_loss_1d,drawdown_severity,3.498874565117407e-16,1.8950899782476005e-15,-2.6336693308278257e-15,2.383768373484146e-15,5,0.6,1.4454255137137837e-15
vix,realized_volatility_20d,-2.440947519931275e-17,2.395168305901933e-15,-3.2705496467162094e-15,3.4817822435604455e-15,5,0.6,1.4283495599338318e-15
market_loss_1d,average_equity_correlation_60d,6.054455120449519e-16,1.862680792553419e-15,-2.048882974871393e-15,3.1925878691099634e-15,5,0.8,1.424998701993509e-15
average_equity_correlation_60d,lagged_portfolio_loss_1d,5.382832768229745e-16,2.340299472832567e-15,-1.7584453270842988e-15,4.4740472439763984e-15,5,0.6,1.4086299368693087e-15
vix,baa_credit_spread_pct,-4.748734154544992e-16,2.050182366955059e-15,-3.912957974954693e-15,1.0563115446406866e-15,5,0.6,1.3937389891559323e-15
liquidity_stress_20d,negative_momentum_21d,-5.694648769619517e-16,1.8567418853077685e-15,-3.127664189922691e-15,1.9834975045567726e-15,5,0.8,1.3628638787846607e-15
drawdown_severity,average_equity_correlation_60d,-1.1437691528668784e-16,1.696606984938124e-15,-2.5682892512312232e-15,1.7455532346496499e-15,5,0.6,1.2536779351413156e-15
drawdown_severity,negative_momentum_21d,6.471998040467801e-16,1.385639619569487e-15,-1.3395981391970262e-15,2.2948248990426514e-15,5,0.8,1.1830390597255908e-15
term_spread_10y_2y_pct,lagged_portfolio_loss_1d,-5.584089193589361e-16,1.2632414965624137e-15,-2.0251667489434517e-15,9.409385818177463e-16,5,0.6,1.1405920335418968e-15
vix,term_spread_10y_2y_pct,-7.660393775656362e-16,1.3900276664607135e-15,-2.8570987883241392e-15,5.009864707451984e-16,5,0.6,1.030334689526212e-15
baa_credit_spread_pct,negative_momentum_21d,-3.35048365290491e-16,1.5823012190048047e-15,-3.1152261852941077e-15,7.288371831337765e-16,5,0.6,9.12421877922117e-16
baa_credit_spread_pct,term_spread_10y_2y_pct,-2.7845776298252097e-16,1.0714097080105447e-15,-1.4948050346328707e-15,1.3542213819579278e-15,5,0.6,8.228129334812888e-16
realized_volatility_20d,baa_credit_spread_pct,-4.0476154293828285e-16,1.197033050668851e-15,-2.498608309318986e-15,3.5024220368995747e-16,5,0.6,7.066689265582389e-16
liquidity_stress_20d,baa_credit_spread_pct,-1.5859301766472994e-16,7.589091637615379e-16,-1.1909453725350712e-15,8.782783311317315e-16,5,0.6,5.71200907280553e-16
drawdown_severity,baa_credit_spread_pct,1.6815468523590844e-16,7.287554879724871e-16,-5.025718972801778e-16,1.3324141292894035e-15,5,0.6,5.255188165526736e-16
baa_credit_spread_pct,average_equity_correlation_60d,-3.49202416124054e-16,2.1839717645821089e-16,-6.254174631493188e-16,-3.777850835932372e-17,5,1.0,3.49202416124054e-16
