asset,sample,feature,clipping enabled,raw minimum,lower clipping bound,raw maximum,upper clipping bound,below-bound observations,above-bound observations,clipped observations,clipped rate
NVDA,estimation,sector_excess_return,False,-0.07085647267085349,-inf,0.12580917869687008,inf,0,0,0,0.0
NVDA,estimation,size_spread,False,-0.029046510168316608,-inf,0.04397288941072741,inf,0,0,0,0.0
NVDA,estimation,value_growth_spread,False,-0.034832941481606206,-inf,0.04660513932346255,inf,0,0,0,0.0
NVDA,estimation,momentum_spread,False,-0.03373271372991482,-inf,0.03464711362990425,inf,0,0,0,0.0
NVDA,estimation,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
NVDA,estimation,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
NVDA,test,market_excess_return,False,-0.11589615746190164,-inf,0.09969374076671228,inf,0,0,0,0.0
NVDA,test,sector_excess_return,False,-0.1486711224578722,-inf,0.12580917869687008,inf,0,0,0,0.0
NVDA,test,size_spread,False,-0.029405444657308877,-inf,0.04397288941072741,inf,0,0,0,0.0
NVDA,test,value_growth_spread,False,-0.034832941481606206,-inf,0.046914851288716086,inf,0,0,0,0.0
NVDA,test,momentum_spread,False,-0.042562810079078695,-inf,0.0372115581480017,inf,0,0,0,0.0
NVDA,test,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
NVDA,test,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
UNH,estimation,market_excess_return,False,-0.060492939552958716,-inf,0.09969374076671228,inf,0,0,0,0.0
UNH,estimation,sector_excess_return,False,-0.05657251566659989,-inf,0.04237805054088556,inf,0,0,0,0.0
UNH,estimation,size_spread,False,-0.029046510168316608,-inf,0.04397288941072741,inf,0,0,0,0.0
UNH,estimation,value_growth_spread,False,-0.034832941481606206,-inf,0.04660513932346255,inf,0,0,0,0.0
UNH,estimation,momentum_spread,False,-0.03373271372991482,-inf,0.03464711362990425,inf,0,0,0,0.0
UNH,estimation,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
UNH,estimation,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
UNH,test,market_excess_return,False,-0.11589615746190164,-inf,0.09969374076671228,inf,0,0,0,0.0
UNH,test,sector_excess_return,False,-0.10382641599991706,-inf,0.07423155476290545,inf,0,0,0,0.0
UNH,test,size_spread,False,-0.029405444657308877,-inf,0.04397288941072741,inf,0,0,0,0.0
UNH,test,value_growth_spread,False,-0.034832941481606206,-inf,0.046914851288716086,inf,0,0,0,0.0
UNH,test,momentum_spread,False,-0.042562810079078695,-inf,0.0372115581480017,inf,0,0,0,0.0
